ADMISSIONS AND ENROLMENT
admissions;rekrutacja
application file;dokumenty kandydata
application form;kwestionariusz kandydata
application round;tura rekrutacji
apply for second-cycle studies;ubiegać się o przyjęcie na studia drugiego stopnia
enrol;zapisać się na studia
enrolment;przyjęcie na studia
entrance examination;egzamin wstępny;entrance exam
interview;rozmowa kwalifikacyjna
matriculation;immatrykulacja
maturity certificates ranking;konkurs świadectw dojrzałości
maturity examination;egzamin maturalny;maturity exam
possibility to apply for doctoral studies;ubiegać się o przyjęcie na studia doktoranckie
qualifications;kwalifikacje
recruitment;procedura kwalifikacyjna
COURSES
absent;nieobecny
additional registration period;rejestracja uzupełniająca
basic subject area courses;przedmioty podstawowe
class cancelled;zajęcia odwołane
class rescheduled;zajęcia przełożone
class withdrawn;zajęcia wycofane
classes;zajęcia
concerning all fields of technology;ogólnotechniczny
core courses;zajęcia obowiązkowe
course;przedmiot
course instructor;prowadzący
course lecturer;wykładowca
course linkage;podpięcie przedmiotu
course registration;rejestracja na zajęcia
course schedule;plan zajęć
course syllabus;konspekt zajęć
course type;rodzaj zajęć
curricular disparity;różnica programowa
discussions;ćwiczenia;sections
elective;do wyboru
elective courses;przedmioty obieralne
eligible for participation in class;uprawniony do uczestnictwa w zajęciach
general courses;przedmioty ogólne
graduate seminar;seminarium magisterskie
"intensive course
";kurs intensywny
internship;praktyka
introductory seminar;proseminarium
lab;laboratorium;laboratory
laboratory classes;laboratoria
lecture;wykład
main registration period;rejestracja podstawowa
major courses;przedmioty kierunkowe
mandatory;obowiązkowy;obligatory
present;obecny
problem workshop;pracownia problemowa
projects;projekty
seminar;seminarium
tutorial;zajęcia indywidualne
undergraduate seminar;seminarium dyplomowe
withdraw;wyrejestrować
workshops;warsztaty
DEGREES
bachelor thesis;praca licencjacka, inżynierska
degree;stopień (tytuł zawodowy)
degree examination;egzamin dyplomowy;degree exam
diploma dupplement;suplement do dyplomu
dissertation;praca dyplomowa;thesis
master thesis;praca magisterska
reviewer;recenzent
submit the dissertation;złożyć pracę dyplomową
supervisor;promotor
topic;temat;subject
DOCUMENTS
application;podanie;request
certificate;świadectwo
certificate of student status;zaświadczenie o byciu studentem
certified copy of the diploma;poświadczona kopia dyplomu
dean's approval;zgoda dziekana
diploma;dyplom
diploma duplicate;odpis dyplomu
diploma duplicate in a foreign-language;odpis obcojęzyczny dyplomu
diploma number;numer dyplomu
examination form;karta egzaminacyjna
grade book;indeks
holder of the diploma;posiadacz dyplomu
issued;wydany
letter to the dean;podane do dziekana
maturity certificate;świadectwo maturalne
name-bearing stamp;pieczątka
regulations;regulamin
signature;podpis
stamp;pieczęć
student ID card;legitymacja studencka
student ID validity;ważność legitymacji
student ID validity extension;przedłużenie ważności legitymacji
transcript of records;wyciąg z karty ocen
valid;ważny
FINANCIAL
account;konto
award;nagroda;prize
bank transfer;przelew bankowy
benefit;świadczenie
course retake fee;opłata za warunek
domestic bank transfer;krajowy przelew bankowy
fee-paying programme;studia płatne
fee-paying student;student płatny
financial aid;pomoc stypendialna;bursuary
for charge;za opłatą
free of charge;bezpłatny
international bank transfer;przelew walutowy
money order;przekaz pocztowy
payment;płatność
payment due date;data płatności
scholarship;stypendium
tuition fee;czesne;tuition
tuition fee refund;zwrot czesnego
tuition fee waiver;zwolnienie z czesnego
year retake fee;opłata za powtarzanie roku
GRADES AND CREDITS
academic title;tytuł naukowy
assignment;referat
complete a course;ukończyć przedmiot
course credit;zaliczenie
course retake;warunek
credit in next semester;zaliczenie w następnym semestrze
credited;zaliczono
diploma examination;egzamin dyplomowy
end-term test;kolokwium zaliczeniowe
examination;egzamin;exam
examination period;sesja egzaminacyjna;exam period
examination protocol;protokół egzaminacyjny;exam protocol
examination retake;egzamin poprawkowy
final examination;egzamin końcowy
give a course credit;zaliczyć przedmiot (studentowi przez prowadzącego);pass a course
good;dobry;C
good plus;ponad dobry;B
grade;ocena;mark
no grade;bez oceny
not credited;nie zaliczono
obtain a course credit;zaliczyć przedmiot (przez studenta)
oral examination;zaliczenie ustne;oral exam
re-sit examination;egzamin poprawkowy;re-sit exam
satisfactory;dostateczny;E
satisfactory plus;dość dobry;D
semester retake;repeta semestru
test;kolokwium
title conferred;tytuł nadany
title of dissertation;tytuł pracy dyplomowej
titles conferred;tytuły końcowe
unsatisfactory;niedostateczny;F
very good;bardzo dobry;A
written examination;zaliczenie pisemne
year retake;repeta roku
GROUPS AND BODIES
authorities;władze
committee;komisja
Curriculum Committee;Komisja Dydaktyczna
department;katedra;chair;research group
diploma commission;komisja dyplomowa
