temporal lobe;the part of the brain that is on each side of the head, nearest the ears;(płat skroniowy);;;;(płat skroniowy)
adipose tissue;a collection of fat cells;(tkanka tłuszczowa);;;;(tkanka tłuszczowa)
dermis;the basal layer of skin;(skóra właściwa (warstwa skóry));;;;(skóra właściwa (warstwa skóry))
hamate;shaped like a hook;(haczykowaty);;;;(haczykowaty)
concha;a shell-shaped structure (hollow) in the ear;(małżowina uszna);;;;(małżowina uszna)
sternoclavicular joint;the joint between the sternum and the clavicle ;(staw mostkowo-obojczykowy);;;;(staw mostkowo-obojczykowy)
rectum;the last portion of the large intestine;(odbytnica, prostnica);;;;(odbytnica, prostnica)
funny bone;a point on the elbow where the nerve runs close to the surface and produces a tingling sensation if put under pressure;(czułe miejsce w łokciu);;;;(czułe miejsce w łokciu)
bicipital;relating to biceps muscles;(dwugłowy, bicepsowy);;;;(dwugłowy, bicepsowy)
rash;temporary changes on the skin;(wysypka);;;;(wysypka)
nerve impulse;the process taking place along nerve fibre;(impuls nerwowy);;;;(impuls nerwowy)
laniary ;designed for tearing, as the canine teeth ;(kłowy);;;;(kłowy)
womb;an organ for containing and nourishing the embryo and fetus;(macica);;;;(macica)
humerus;the bone of the upper arm;(kość ramienna);;;;(kość ramienna)
RNA;ribonucleic acid;(kwas rybonukleinowy);;;;(kwas rybonukleinowy)
extensor;any muscle that stretches or extends a body part;(prostownik (mięsień służący do prostowania kręgosłupa lub stawu w kończynie));;;;(prostownik (mięsień służący do prostowania kręgosłupa lub stawu w kończynie))
pelvic ;relating to the pelvis;(miedniczny);;;;(miedniczny)
gnathic;relating to the jaw;(szczękowy);;;;(szczękowy)
hinge joint;a joint that allows movement in only one plane – forward and backward;(staw zawiasowy);;;;(staw zawiasowy)
jaw;one of the two bony structures of the mouth;(szczęka);;;;(szczęka)
ovary ;the female sexual glands ;(jajnik);;;;(jajnik)
abdomen;the space containing abdominal organs;(jama brzuszna);abdominal cavity;;;(jama brzuszna)
cubital;relating to the cubitus (elbow);(łokciowy);;;;(łokciowy)
leukoblast;an immature leukocyte, or white blood cell;(leukoblast);;;;(leukoblast)
oropharynx;the part of the pharynx lying posterior to the mouth;(część ustna gardła);;;;(część ustna gardła)
talkbox;larynx;(krtań);;;;(krtań)
pharyngeal ;relating to the pharynx;(gardłowy);;;;(gardłowy)
joint capsule ;a sac surrounding a moving joint;(torebka stawowa);;;;(torebka stawowa)
