Slowo;Definicja;Synonimy;AudioE;AudioP;Obrazy;Rozdzial
abacus;abakus;;[sound:quizlet-16914755255-front.mp3];[sound:quizlet-16914755255-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074362_191228_1600_11.jpg'>;Style, ornamenty, sztuka i historia
above ground level;powyżej poziomu gruntu;;[sound:quizlet-16914755256-front.mp3];[sound:quizlet-16914755256-back.mp3];"<img src=""quizlet-p0xGt7KWqe6vNXhfzk53dw.jpg"">";Proces budowlany
abrasion;przetarcie;Synonimy: hole;[sound:quizlet-16914755257-front.mp3];[sound:quizlet-16914755257-back.mp3];"<img src=""quizlet-.iv6JiHoIb0qISHyc-ZliA.jpg"">";Materiały budowlane
abrasion resistance;odporność na ścieranie;;[sound:quizlet-16914755258-front.mp3];[sound:quizlet-16914755258-back.mp3];"<img src=""quizlet-tNUhCCGUkU-k5uUNveLgWQ.jpg"">";Materiały budowlane
abrasive;ścierny;;[sound:quizlet-16914755259-front.mp3];[sound:quizlet-16914755259-back.mp3];"<img src=""quizlet-NU.NL1khxMAK11TDXg.phA.jpg"">";Materiały budowlane
abscissa;odcięta;;[sound:quizlet-16914755260-front.mp3];[sound:quizlet-16914755260-back.mp3];"<img src=""quizlet-zBjlQJobK6qpSBzX5Q9ZcA.jpg"">";Rysunek techniczny i wizualizacja
absolute;absolutny;Synonimy: complete, utter, illimitable;[sound:quizlet-16914755261-front.mp3];[sound:quizlet-16914755261-back.mp3];"<img src=""quizlet-2s4vWknXWf.9LHI-p1CU2Q.jpg"">";Pomiar i jednostki
absolute zero;zero absolutne;;[sound:quizlet-16914755262-front.mp3];[sound:quizlet-16914755262-back.mp3];"<img src=""quizlet-gTsnAgfWmGdlSdMYJYv4tg.png"">";Pomiar i jednostki
absorbent;absorbent;;[sound:quizlet-16914755263-front.mp3];[sound:quizlet-16914755263-back.mp3];"<img src=""quizlet-BBafqbMK.ydvoHi.l2bIbQ.jpg"">";Materiały budowlane
absorption;wchłanianie;;[sound:quizlet-16914755264-front.mp3];[sound:quizlet-16914755264-back.mp3];"<img src=""quizlet-EU9IjZjj3ato97O80w85dg.jpg"">";Materiały budowlane
absorption rate;szybkość absorpcji;;[sound:quizlet-16914755265-front.mp3];[sound:quizlet-16914755265-back.mp3];"<img src=""quizlet-9_g34C-Wz4uKBU8nk7QpmA.jpg"">";Materiały budowlane
absorptivity;chłonność;;[sound:quizlet-16914755266-front.mp3];[sound:quizlet-16914755266-back.mp3];"<img src=""quizlet-EU9IjZjj3ato97O80w85dg.jpg"">";Materiały budowlane
abutment;filar przyporowy;;[sound:quizlet-16914755267-front.mp3];[sound:quizlet-16914755267-back.mp3];"<img src=""quizlet-TtAnux9.hLij-JAgvzwGZg.jpg"">";Elementy konstrukcyjne
acanthus leaf;liść akantu;;[sound:quizlet-16914755268-front.mp3];[sound:quizlet-16914755268-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074364_191228_1603_11.jpg'>;Style, ornamenty, sztuka i historia
acceleration;przyśpieszenie;Synonimy: speeding;[sound:quizlet-16914755269-front.mp3];[sound:quizlet-16914755269-back.mp3];"<img src=""quizlet-r3Cw8y6ThmKaYFz8TeLbbQ.jpg"">";Pomiar i jednostki
accelerator;akcelerator;;[sound:quizlet-16914755270-front.mp3];[sound:quizlet-16914755270-back.mp3];"<img src=""quizlet-F5tC4-LCMyISpy58e6t94g.jpg"">";Materiały budowlane
access;dostęp;Synonimy: admission, accession;[sound:quizlet-16914755271-front.mp3];[sound:quizlet-16914755271-back.mp3];"<img src=""quizlet-fBaNW4MOzBXM2l6GTMyHcQ.jpg"">";Proces budowlany
acclivity;wzniesienie;Synonimy: elevation, height, altitude;[sound:quizlet-16914755272-front.mp3];[sound:quizlet-16914755272-back.mp3];"<img src=""quizlet-qJyDkXDBwnHMnUiFcx0ASQ.jpg"">";Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
accordion door;drzwi harmonijkowe;Synonimy: concertina type folding door;[sound:quizlet-16914755273-front.mp3];[sound:quizlet-16914755273-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214374404_200115_1146_42.jpg'>;Wykończenia i detale
accreditation;akredytacja;;[sound:quizlet-16914755274-front.mp3];[sound:quizlet-16914755274-back.mp3];"<img src=""quizlet--Z1Sx.wMJ1.J0tDH46vAXg.jpg"">";Zarządzanie projektem, bezpieczeństwo i przepisy
accumulation;akumulacja;;[sound:quizlet-16914755275-front.mp3];[sound:quizlet-16914755275-back.mp3];"<img src=""quizlet-2aZZmilbaainuhZIuNjcgQ.jpg"">";Proces budowlany
acetone;aceton;;[sound:quizlet-16914755276-front.mp3];[sound:quizlet-16914755276-back.mp3];"<img src=""quizlet-R5XU4VP779xbgvPkODNwnQ.png"">";Materiały budowlane
acetylene;acetylen;;[sound:quizlet-16914755277-front.mp3];[sound:quizlet-16914755277-back.mp3];"<img src=""quizlet-bvzVhnAy8jk9trc6aZM-8w.png"">";Materiały budowlane
acid;kwas;;[sound:quizlet-16914755278-front.mp3];[sound:quizlet-16914755278-back.mp3];"<img src=""quizlet-X9BzsAfjCKLM6sl8qZDbUA.jpg"">";Materiały budowlane
acidic;kwaśny;Synonimy: sour;[sound:quizlet-16914755279-front.mp3];[sound:quizlet-16914755279-back.mp3];"<img src=""quizlet-KsbyCOsEoY16462Csmaf8g.jpg"">";Materiały budowlane
acoustic board;płyta akustyczna;Synonimy: acoustic panel;[sound:quizlet-16914755280-front.mp3];[sound:quizlet-16914755280-back.mp3];"<img src=""quizlet-fUhq.rLk-GnPXuWsHmvtoA.png"">";Wykończenia i detale
acoustic floor;podłoga akustyczna;;[sound:quizlet-16914755281-front.mp3];[sound:quizlet-16914755281-back.mp3];"<img src=""quizlet-HbYtlZ5guQcIVfc1EcCTTA.png"">";Wykończenia i detale
acoustic tile;dachówka akustyczna;;[sound:quizlet-16914755282-front.mp3];[sound:quizlet-16914755282-back.mp3];"<img src=""quizlet-dIwCnya8uTB6EdglRLY0sg.jpg"">";Wykończenia i detale
acoustics;akustyka;;[sound:quizlet-16914755283-front.mp3];[sound:quizlet-16914755283-back.mp3];"<img src=""quizlet-A2dwXfjMqr64BUdt7LEuxw.jpg"">";Wykończenia i detale
acre;akr;;[sound:quizlet-16914755284-front.mp3];[sound:quizlet-16914755284-back.mp3];"<img src=""quizlet-ytJ2elsv4OShditneZewkg.png"">";Pomiar i jednostki
