Rozdzial;Elementy konstrukcyjne
Slowo;Definicja;Synonimy;AudioE;AudioP;Obrazy
abutment;filar przyporowy;;[sound:quizlet-16914755267-front.mp3];[sound:quizlet-16914755267-back.mp3];"<img src=""quizlet-TtAnux9.hLij-JAgvzwGZg.jpg"">"
air barrier;bariera powietrzna;;[sound:quizlet-16914755309-front.mp3];[sound:quizlet-16914755309-back.mp3];"<img src=""quizlet-mw2m2N7LerPrs0ARAEKjDw.png"">"
airtightness;szczelność;Synonimy: tightness;[sound:quizlet-16914755326-front.mp3];[sound:quizlet-16914755326-back.mp3];"<img src=""quizlet-Lx2RF9k.oamHHxY7VUGavw.jpg"">"
anchor;kotwica;Synonimy: anker;[sound:quizlet-16914755360-front.mp3];[sound:quizlet-16914755360-back.mp3];"<img src=""quizlet-y1DaP7QnEqwqW2yDwC6cQA.jpg"">"
anchorage;zamocowanie;;[sound:quizlet-16914755361-front.mp3];[sound:quizlet-16914755361-back.mp3];"<img src=""quizlet-0.t1.FLEmKYBuAMT83fhFw.jpg"">"
annular;pierścieniowy;Synonimy: ringed, ring-shaped;[sound:quizlet-16914755374-front.mp3];[sound:quizlet-16914755374-back.mp3];"<img src=""quizlet-m5HqQaRPAKsfPSy.7S4AEA.jpg"">"
anticline;antyklina;Synonimy: saddlebag;[sound:quizlet-16914755378-front.mp3];[sound:quizlet-16914755378-back.mp3];"<img src=""quizlet-HzV4kXNYlnSOPqnsDtiJPw.png"">"
apex;wierzchołek;Synonimy: top, vertex, peak;[sound:quizlet-16914755379-front.mp3];[sound:quizlet-16914755379-back.mp3];"<img src=""quizlet-GKtTMIXkYejyibIR2bGfRw.jpg"">"
arc;łuk;Synonimy: bow, arch, curve;[sound:quizlet-16914755390-front.mp3];[sound:quizlet-16914755390-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214374514_191229_1732_31.jpg'>
architrave;architraw;;[sound:quizlet-16914755395-front.mp3];[sound:quizlet-16914755395-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236068537_191228_1549_34.jpg'>
archivolt;archiwolta;;[sound:quizlet-16914755396-front.mp3];[sound:quizlet-16914755396-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236068538_191229_1746_06.jpg'>
array;szyk;;[sound:quizlet-16914755403-front.mp3];[sound:quizlet-16914755403-back.mp3];"<img src=""quizlet-6qqtA0AHKH5SpXn08xgbrw.jpg"">"
arris;kant;Synonimy: edge, bezel, bevel;[sound:quizlet-16914755404-front.mp3];[sound:quizlet-16914755404-back.mp3];"<img src=""quizlet-PJO8nJGIAacWQLtWk-GmHg.png"">"
;ostre zejście żłobków;;[sound:quizlet-16914755405-front.mp3];[sound:quizlet-16914755405-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074373_191228_1601_17.jpg'>
articulated;przegubowy;;[sound:quizlet-16914755408-front.mp3];[sound:quizlet-16914755408-back.mp3];"<img src=""quizlet-skeNUUZYHhRAhEqhCxTGIA.jpg"">"
axial;osiowy;;[sound:quizlet-16914755434-front.mp3];[sound:quizlet-16914755434-back.mp3];"<img src=""quizlet-suFSzdzdWgyvZDnRhT7Epw.png"">"
axis;oś;;[sound:quizlet-16914755435-front.mp3];[sound:quizlet-16914755435-back.mp3];"<img src=""quizlet-tBeVozw3fUrc4xNUQGq1aA.jpg"">"
axisymmetric;osiowo-symetryczny;Synonimy: axially symmetric;[sound:quizlet-16914755436-front.mp3];[sound:quizlet-16914755436-back.mp3];"<img src=""quizlet-pJEpgCGwvkmtfWTkRsv2fg.jpg"">"
baffle;przegroda;Synonimy: partition, compartment, bulkhead;[sound:quizlet-16914755440-front.mp3];[sound:quizlet-16914755440-back.mp3];"<img src=""quizlet-HykNRxKB5KUpoqeVS983Gg.jpg"">"
balanced construction;zrównoważona konstrukcja;;[sound:quizlet-16914755441-front.mp3];[sound:quizlet-16914755441-back.mp3];"<img src=""quizlet-6SVlqtoIdRKJxRxQLHo4BQ.jpg"">"
balancing;balansowy;;[sound:quizlet-16914755442-front.mp3];[sound:quizlet-16914755442-back.mp3];"<img src=""quizlet-K-L45D.gCEk8IQrgOr3Tjw.png"">"
