Rozdzial;Instalacje techniczne
Slowo;Definicja;Synonimy;AudioE;AudioP;Obrazy
adaptor;adapter;;[sound:quizlet-16914755291-front.mp3];[sound:quizlet-16914755291-back.mp3];"<img src=""quizlet-3J9eU9Y8UlFcHs05WWszCw.jpg"">"
aeration;napowietrzanie;;[sound:quizlet-16914755302-front.mp3];[sound:quizlet-16914755302-back.mp3];"<img src=""quizlet-ea.BOPklWXLWbPvtFe-LjQ.jpg"">"
aerial;antenowy;;[sound:quizlet-16914755303-front.mp3];[sound:quizlet-16914755303-back.mp3];"<img src=""quizlet-QJuyrH5Vo1OaB9uPXGJyWg.jpg"">"
air conditioner;klimatyzator;Synonimy: ac;[sound:quizlet-16914755310-front.mp3];[sound:quizlet-16914755310-back.mp3];"<img src=""quizlet-iokCTOhzFDWMFMAaw9hu6g.jpg"">"
air diffuser;dyfuzor powietrza;;[sound:quizlet-16914755311-front.mp3];[sound:quizlet-16914755311-back.mp3];"<img src=""quizlet-tgBW88xYDLpaQOFw1cjK0Q.png"">"
air distribution;dystrybucja powietrza;;[sound:quizlet-16914755312-front.mp3];[sound:quizlet-16914755312-back.mp3];"<img src=""quizlet-1msQQtuyOMZQIQf.0DVqhw.jpg"">"
air drain;odpływ powietrza;;[sound:quizlet-16914755313-front.mp3];[sound:quizlet-16914755313-back.mp3];"<img src=""air drain.jpg"">"
air grille;kratka wentylacyjna;Synonimy: gable vent;[sound:quizlet-16914755314-front.mp3];[sound:quizlet-16914755314-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214374446_200115_1305_15.jpg'>
air infiltration;infiltracja powietrza;;[sound:quizlet-16914755315-front.mp3];[sound:quizlet-16914755315-back.mp3];"<img src=""quizlet-2UrRcwelbEjoKU4rjxCUJA.jpg"">"
air leakage;wyciek powietrza;;[sound:quizlet-16914755316-front.mp3];[sound:quizlet-16914755316-back.mp3];"<img src=""quizlet-VU9ockQXTm4NMiAtgDS-jw.jpg"">"
air leakage rate;wskaźnik wycieku powietrza;;[sound:quizlet-16914755317-front.mp3];[sound:quizlet-16914755317-back.mp3];"<img src=""quizlet-VU9ockQXTm4NMiAtgDS-jw.jpg"">"
air permeability;przepuszczalność powietrza;;[sound:quizlet-16914755318-front.mp3];[sound:quizlet-16914755318-back.mp3];"<img src=""quizlet-efkXJClppmdpDaqAoghxiQ.jpg"">"
air quality;jakość powietrza;;[sound:quizlet-16914755319-front.mp3];[sound:quizlet-16914755319-back.mp3];"<img src=""quizlet-FCoFvrWcetNtH8Ysj0oVlw.jpg"">"
air shaft;szyb powietrzny;;[sound:quizlet-16914755320-front.mp3];[sound:quizlet-16914755320-back.mp3];"<img src=""quizlet-2LtCZst7VkVVUn-Uv4h3SA.jpg"">"
