Rozdzial;Materiały budowlane
Slowo;Definicja;Synonimy;AudioE;AudioP;Obrazy
abrasion;przetarcie;Synonimy: hole;[sound:quizlet-16914755257-front.mp3];[sound:quizlet-16914755257-back.mp3];"<img src=""quizlet-.iv6JiHoIb0qISHyc-ZliA.jpg"">"
abrasion resistance;odporność na ścieranie;;[sound:quizlet-16914755258-front.mp3];[sound:quizlet-16914755258-back.mp3];"<img src=""quizlet-tNUhCCGUkU-k5uUNveLgWQ.jpg"">"
abrasive;ścierny;;[sound:quizlet-16914755259-front.mp3];[sound:quizlet-16914755259-back.mp3];"<img src=""quizlet-NU.NL1khxMAK11TDXg.phA.jpg"">"
absorbent;absorbent;;[sound:quizlet-16914755263-front.mp3];[sound:quizlet-16914755263-back.mp3];"<img src=""quizlet-BBafqbMK.ydvoHi.l2bIbQ.jpg"">"
absorption;wchłanianie;;[sound:quizlet-16914755264-front.mp3];[sound:quizlet-16914755264-back.mp3];"<img src=""quizlet-EU9IjZjj3ato97O80w85dg.jpg"">"
absorption rate;szybkość absorpcji;;[sound:quizlet-16914755265-front.mp3];[sound:quizlet-16914755265-back.mp3];"<img src=""quizlet-9_g34C-Wz4uKBU8nk7QpmA.jpg"">"
absorptivity;chłonność;;[sound:quizlet-16914755266-front.mp3];[sound:quizlet-16914755266-back.mp3];"<img src=""quizlet-EU9IjZjj3ato97O80w85dg.jpg"">"
accelerator;akcelerator;;[sound:quizlet-16914755270-front.mp3];[sound:quizlet-16914755270-back.mp3];"<img src=""quizlet-F5tC4-LCMyISpy58e6t94g.jpg"">"
acetone;aceton;;[sound:quizlet-16914755276-front.mp3];[sound:quizlet-16914755276-back.mp3];"<img src=""quizlet-R5XU4VP779xbgvPkODNwnQ.png"">"
acetylene;acetylen;;[sound:quizlet-16914755277-front.mp3];[sound:quizlet-16914755277-back.mp3];"<img src=""quizlet-bvzVhnAy8jk9trc6aZM-8w.png"">"
acid;kwas;;[sound:quizlet-16914755278-front.mp3];[sound:quizlet-16914755278-back.mp3];"<img src=""quizlet-X9BzsAfjCKLM6sl8qZDbUA.jpg"">"
acidic;kwaśny;Synonimy: sour;[sound:quizlet-16914755279-front.mp3];[sound:quizlet-16914755279-back.mp3];"<img src=""quizlet-KsbyCOsEoY16462Csmaf8g.jpg"">"
acrylic;akryl;;[sound:quizlet-16914755286-front.mp3];[sound:quizlet-16914755286-back.mp3];"<img src=""quizlet-Jx5HRYP5PhphB8uD5c3xxg.jpg"">"
additive;przyłączeniowy;;[sound:quizlet-16914755292-front.mp3];[sound:quizlet-16914755292-back.mp3];"<img src=""quizlet-ptgUj0vmuPc6SDZZwOv86A.png"">"
adhesion;przyczepność;Synonimy: adherence, adhesiveness, cohesion;[sound:quizlet-16914755293-front.mp3];[sound:quizlet-16914755293-back.mp3];"<img src=""quizlet-cukoknydvVmUfBeECMzWfQ.png"">"
adhesive;spoiwo;Synonimy: binder;[sound:quizlet-16914755294-front.mp3];[sound:quizlet-16914755294-back.mp3];"<img src=""quizlet-ojZ34GO2N_My07-C4o-pSA.jpg"">"
admixture;domieszka;;[sound:quizlet-16914755298-front.mp3];[sound:quizlet-16914755298-back.mp3];"<img src=""quizlet-pR.V0tpnYKg7nT5IcE8ryQ.jpg"">"
adsorption;adsorpcja;;[sound:quizlet-16914755299-front.mp3];[sound:quizlet-16914755299-back.mp3];"<img src=""quizlet-thipP-rO-cfvQJT35PU-bA.png"">"
agglomerate;aglomerat;;[sound:quizlet-16914755307-front.mp3];[sound:quizlet-16914755307-back.mp3];"<img src=""quizlet-cWatp36g-5UCMmMoZh6LAA.jpg"">"
aggregate;agregat;;[sound:quizlet-16914755308-front.mp3];[sound:quizlet-16914755308-back.mp3];"<img src=""quizlet-w4vYeg4DIkOeXl.CRmpxpw.jpg"">"
aircrete;beton komórkowy;;[sound:quizlet-16914755325-front.mp3];[sound:quizlet-16914755325-back.mp3];"<img src=""quizlet-nmKZghtTf4kGKE41fvAlVw.jpg"">"
alkali;alkalia;;[sound:quizlet-16914755333-front.mp3];[sound:quizlet-16914755333-back.mp3];"<img src=""quizlet-w6nzZfqS6JgMTyO6PyCj.A.jpg"">"
alkyd plastics;alkidowe tworzywa sztuczne;;[sound:quizlet-16914755335-front.mp3];[sound:quizlet-16914755335-back.mp3];"<img src=""quizlet-qnM9UvqIAqvc3DHOTmwT4Q.jpg"">"
alkyd resin;żywica alkidowa;;[sound:quizlet-16914755336-front.mp3];[sound:quizlet-16914755336-back.mp3];"<img src=""quizlet-O79f85850vxHDdAWRo-5hQ.png"">"
allotropy;alotropia;Synonimy: allotropism;[sound:quizlet-16914755337-front.mp3];[sound:quizlet-16914755337-back.mp3];"<img src=""quizlet-WWFiglEHLcif-2aL7C3ssg.jpg"">"
alloy;stop;;[sound:quizlet-16914755339-front.mp3];[sound:quizlet-16914755339-back.mp3];"<img src=""quizlet-yQ9R5-Ir4tn.g4PYzJ49vw.jpg"">"
alloy steel;stal stopowa;;[sound:quizlet-16914755340-front.mp3];[sound:quizlet-16914755340-back.mp3];"<img src=""quizlet-olr2vl7u71Cbkf4I6FLGjw.png"">"
alluvium;aluwium;;[sound:quizlet-16914755341-front.mp3];[sound:quizlet-16914755341-back.mp3];"<img src=""quizlet-55A3hIdyHKyUQAi9lfePmA.jpg"">"
aluminium;aluminium;;[sound:quizlet-16914755343-front.mp3];[sound:quizlet-16914755343-back.mp3];"<img src=""quizlet-oFvkY3Dy.qc8tXLWJgw3Eg.jpg"">"
aluminium sulphate;siarczan glinu;;[sound:quizlet-16914755345-front.mp3];[sound:quizlet-16914755345-back.mp3];"<img src=""quizlet-AXI6EddF-P6PXO3pcsh9nw.png"">"
ammonia;amoniak;;[sound:quizlet-16914755352-front.mp3];[sound:quizlet-16914755352-back.mp3];"<img src=""quizlet-LdWIePSnxCQ_ntQflJGckw.jpg"">"
anaerobic;beztlenowy;;[sound:quizlet-16914755357-front.mp3];[sound:quizlet-16914755357-back.mp3];"<img src=""quizlet-Pz.Wb74wR26HQHQx0MHe3w.png"">"
anhydrite;anhydryt;;[sound:quizlet-16914755369-front.mp3];[sound:quizlet-16914755369-back.mp3];"<img src=""quizlet-sfv4YcY3NGbCr-5YKiAvUg.jpg"">"
anhydrous;bezwodny;Synonimy: dry, waterless;[sound:quizlet-16914755370-front.mp3];[sound:quizlet-16914755370-back.mp3];"<img src=""quizlet-Hxy5tWBJk1Tq7fwRfY7XGQ.jpg"">"
anion;anion;;[sound:quizlet-16914755371-front.mp3];[sound:quizlet-16914755371-back.mp3];"<img src=""quizlet-xxjhyrjJ-ySH4b8SHmspCw.jpg"">"
anneal;żarzyć;;[sound:quizlet-16914755372-front.mp3];[sound:quizlet-16914755372-back.mp3];"<img src=""quizlet-n4e7WxqXYq7toq6c1atp6w.jpg"">"
annealing point;punkt wyżarzania;;[sound:quizlet-16914755373-front.mp3];[sound:quizlet-16914755373-back.mp3];"<img src=""quizlet-1k7.OJVXrlOnFKp3rsSLXA.jpg"">"
aqueous;wodny;;[sound:quizlet-16914755385-front.mp3];[sound:quizlet-16914755385-back.mp3];"<img src=""quizlet-WhRqxunlF8dOsL-66uDVqg.jpg"">"
aramid;aramidowy;;[sound:quizlet-16914755387-front.mp3];[sound:quizlet-16914755387-back.mp3];"<img src=""quizlet-G2HTTl.rWV8CWUVESo5NMA.png"">"
arenaceous;żwirowaty;Synonimy: gritty, gravelly;[sound:quizlet-16914755398-front.mp3];[sound:quizlet-16914755398-back.mp3];"<img src=""quizlet-.t2.HNN6BMrpYUes1g3kNQ.jpg"">"
argillaceous;gliniasty;Synonimy: clay, loamy;[sound:quizlet-16914755400-front.mp3];[sound:quizlet-16914755400-back.mp3];"<img src=""quizlet-VtkMAjgHRecDzeyQOiZrBw.jpg"">"
argon;argon;;[sound:quizlet-16914755401-front.mp3];[sound:quizlet-16914755401-back.mp3];"<img src=""quizlet-i28.PKLD3EBwNRXbDDx33A.jpg"">"
artificial;sztuczny;;[sound:quizlet-16914755409-front.mp3];[sound:quizlet-16914755409-back.mp3];"<img src=""quizlet-rBzoeqGKV-e8gJvctV6pYA.png"">"
asbestos;azbest;;[sound:quizlet-16914755410-front.mp3];[sound:quizlet-16914755410-back.mp3];"<img src=""quizlet-0a6UsrNLm2TkWq1OyDCakg.jpg"">"
ash;popiół;;[sound:quizlet-16914755413-front.mp3];[sound:quizlet-16914755413-back.mp3];"<img src=""quizlet-AKtWPNrInTvPnULKRWGJ9g.jpg"">"
