Rozdzial;Narzędzia i sprzęt
Slowo;Definicja;Synonimy;AudioE;AudioP;Obrazy
adze;topór;Synonimy: ax, axe, hatchet;[sound:quizlet-16914755301-front.mp3];[sound:quizlet-16914755301-back.mp3];"<img src=""quizlet-yeU-OxOJr2pWuhsgXjulLw.jpg"">"
anemometer;wiatromierz;Synonimy: wind-gauge;[sound:quizlet-16914755362-front.mp3];[sound:quizlet-16914755362-back.mp3];"<img src=""quizlet-b1u7tBq-9NXZfrAVh_PECg.jpg"">"
angle gauge;kątomierz;;[sound:quizlet-16914755363-front.mp3];[sound:quizlet-16914755363-back.mp3];"<img src=""quizlet-T5NUtQZIkzlXr3W81zrZFQ.jpg"">"
angle grinder;szlifierka kątowa;;[sound:quizlet-16914755364-front.mp3];[sound:quizlet-16914755364-back.mp3];"<img src=""quizlet-bs5GhHVtIYrm3XTJVvfGzQ.jpg"">"
applicator;aplikator;;[sound:quizlet-16914755380-front.mp3];[sound:quizlet-16914755380-back.mp3];"<img src=""quizlet-dsTjo709WzT.zfxImYhDYg.jpg"">"
ashlar;łom;Synonimy: crowbar, jemmy;[sound:quizlet-16914755414-front.mp3];[sound:quizlet-16914755414-back.mp3];"<img src=""quizlet-OS.ncyiFqiXZvHmRLTxNmA.jpg"">"
auger;świder;Synonimy: drill;[sound:quizlet-16914755428-front.mp3];[sound:quizlet-16914755428-back.mp3];"<img src=""quizlet-eHJKE6hNZvcm.asXAPC8JQ.jpg"">"
auxiliary equipment;sprzęt pomocniczy;;[sound:quizlet-16914755429-front.mp3];[sound:quizlet-16914755429-back.mp3];"<img src=""quizlet-iFqkomnLsdNRgYL5wTQkTA.jpg"">"
awl;szydło;;[sound:quizlet-16914755433-front.mp3];[sound:quizlet-16914755433-back.mp3];"<img src=""quizlet-tQgDwqw77LXvDDfS9HMZCA.jpg"">"
backhoe;koparka;Synonimy: excavator, digger;[sound:quizlet-16914755439-front.mp3];[sound:quizlet-16914755439-back.mp3];"<img src=""quizlet-OvrAbC3sgtIg1f36uvKawQ.jpg"">"
band saw;piła taśmowa;;[sound:quizlet-16914755446-front.mp3];[sound:quizlet-16914755446-back.mp3];"<img src=""quizlet-nodh_8SD6aRHDOf_kI3dSA.jpg"">"
barometer;barometr;;[sound:quizlet-16914755449-front.mp3];[sound:quizlet-16914755449-back.mp3];"<img src=""quizlet-SmATbwyytvPgHd.zdNxgfQ.jpg"">"
belt conveyor;Przenośnik taśmowy;;[sound:quizlet-16914769521-front.mp3];[sound:quizlet-16914769521-back.mp3];"<img src=""quizlet-uayVX8oEYnHuU2W0Vnn1zg.jpg"">"
belt sander;szlifierka taśmowa;;[sound:quizlet-16914769522-front.mp3];[sound:quizlet-16914769522-back.mp3];"<img src=""quizlet-WufACXlJ2AhkyQSa27PJlg.jpg"">"
