Rozdzial;Planowanie urbanistyczne, architektura krajobrazu, infrastruktura i inżynieria lądowa
Slowo;Definicja;Synonimy;AudioE;AudioP;Obrazy
acclivity;wzniesienie;Synonimy: elevation, height, altitude;[sound:quizlet-16914755272-front.mp3];[sound:quizlet-16914755272-back.mp3];"<img src=""quizlet-qJyDkXDBwnHMnUiFcx0ASQ.jpg"">"
adjoining property;sąsiednia własność;;[sound:quizlet-16914755296-front.mp3];[sound:quizlet-16914755296-back.mp3];"<img src=""quizlet-xWNsevEn4HTCsaCYhGiqnQ.png"">"
aerodynamics;aerodynamika;;[sound:quizlet-16914755304-front.mp3];[sound:quizlet-16914755304-back.mp3];"<img src=""quizlet-3i44jgUcqq2O5ceSZgcOdg.jpg"">"
ambient;otaczający;Synonimy: surrounding, circumfluent;[sound:quizlet-16914755347-front.mp3];[sound:quizlet-16914755347-back.mp3];"<img src=""quizlet-bM9Yal.9VpZf5Wu9JnjLzg.jpg"">"
aquifer;warstwa wodonośna;;[sound:quizlet-16914755386-front.mp3];[sound:quizlet-16914755386-back.mp3];"<img src=""quizlet-HrEtHOWIgyQZL3NqRjiR0w.jpg"">"
arid;jałowy;Synonimy: barren, idle;[sound:quizlet-16914755402-front.mp3];[sound:quizlet-16914755402-back.mp3];"<img src=""quizlet-I80Oq3AVEuAhA2Wtw2au0w.jpg"">"
Artesian well;studnia Artezyjska;;[sound:quizlet-16914755407-front.mp3];[sound:quizlet-16914755407-back.mp3];"<img src=""quizlet-JCYT5qq8SVZrIeDTCL16Sw.jpg"">"
aseismic;asejsmiczny;;[sound:quizlet-16914755412-front.mp3];[sound:quizlet-16914755412-back.mp3];"<img src=""quizlet-jx-dyFMiSHHqQWtJZiFGPA.jpg"">"
avalanche;lawina;;[sound:quizlet-16914755430-front.mp3];[sound:quizlet-16914755430-back.mp3];"<img src=""quizlet-qcDZB623CAydGmP48N037w.jpg"">"
barotropic;barotropowy;;[sound:quizlet-16914755450-front.mp3];[sound:quizlet-16914755450-back.mp3];"<img src=""quizlet-t.zLAIMIpFS9iF.0o4SnWw.png"">"
barrage;zapora;Synonimy: dam, barrier, obstacle;[sound:quizlet-16914755452-front.mp3];[sound:quizlet-16914755452-back.mp3];"<img src=""quizlet-jvKPmPqkx0CKeOwhRTOuoA.png"">"
bascule bridge;most zwodzony;Synonimy: drawbridge, draw-bridge, bascule-bridge;[sound:quizlet-16914769499-front.mp3];[sound:quizlet-16914769499-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214374766_200114_1640_05.jpg'>
bus stop;przystanek autobusowy;;[sound:quizlet-16914769566-front.mp3];[sound:quizlet-16914769566-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074800_200115_1345_50.jpg'>
carriage;wagon;;[sound:quizlet-16914769588-front.mp3];[sound:quizlet-16914769588-back.mp3];"<img src=""quizlet-lPXKCekY4Y3ddY64A4b1PQ.jpg"">"
city centre;centrum miasta;Synonimy: downtown, city center;[sound:quizlet-16914779134-front.mp3];[sound:quizlet-16914779134-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074980_200115_1356_57.jpg'>
civil engineering;inżynieria lądowa;;[sound:quizlet-16914779136-front.mp3];[sound:quizlet-16914779136-back.mp3];"<img src=""quizlet-8egAsDywToJMLaibHe6dSA.jpg"">"
commercial area;pasaż handlowy;;[sound:quizlet-16914779150-front.mp3];[sound:quizlet-16914779150-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074982_200115_1336_16.jpg'>
contaminated land;skażona ziemia;;[sound:quizlet-16914779177-front.mp3];[sound:quizlet-16914779177-back.mp3];"<img src=""quizlet-TmtN3.wsUXtbzML43ZiJ-w.jpg"">"
cove;zatoczka;;[sound:quizlet-16914786258-front.mp3];[sound:quizlet-16914786258-back.mp3];"<img src=""quizlet-PEVmETCRsKNrk6w98SvxAA.jpg"">"
dead end;ślepy zaułek;;[sound:quizlet-16914786281-front.mp3];[sound:quizlet-16914786281-back.mp3];"<img src=""quizlet-42b2btnDbMXWj7QMeQtViQ.png"">"
derelict;opuszczony;Synonimy: abandoned, desolate;[sound:quizlet-16914786300-front.mp3];[sound:quizlet-16914786300-back.mp3];"<img src=""quizlet-Nnd-JGFafyzTh5BSvx4QSQ.jpg"">"
double leaf bascule-bridge;dwuskrzydłowy most zwodzony;Synonimy: double leaf basculebridge;[sound:quizlet-16914786334-front.mp3];[sound:quizlet-16914786334-back.mp3];"<img src=""quizlet-EWZvHOYVwowKDDqce8h8TQ.png"">"
engineering;inżynieria;;[sound:quizlet-16914793032-front.mp3];[sound:quizlet-16914793032-back.mp3];"<img src=""quizlet-gzM-tCEeFuZjlD0rVBbxIA.jpg"">"
environment;środowisko;;[sound:quizlet-16914793039-front.mp3];[sound:quizlet-16914793039-back.mp3];"<img src=""quizlet-SLX-GHo5r22QkST49H9U6A.jpg"">"
footbridge;kładka;;[sound:quizlet-16914793096-front.mp3];[sound:quizlet-16914793096-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075194_200114_1641_30.jpg'>
garden;ogród;;[sound:quizlet-16914793129-front.mp3];[sound:quizlet-16914793129-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075274_191229_1723_41.jpg'>
gorge;wąwóz;Synonimy: gully, ravine;[sound:quizlet-16914793142-front.mp3];[sound:quizlet-16914793142-back.mp3];"<img src=""quizlet-lsXo44-L5RDPg3ixy6USgA.jpg"">"
green space;skwer;Synonimy: square;[sound:quizlet-16914793155-front.mp3];[sound:quizlet-16914793155-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075282_200115_1356_34.jpg'>
greenhouse;szklarnia;;[sound:quizlet-16914793156-front.mp3];[sound:quizlet-16914793156-back.mp3];"<img src=""quizlet-G3UrrVS1KGuJdaWZn11XAQ.jpg"">"
greenhouse effect;efekt cieplarniany;;[sound:quizlet-16914793157-front.mp3];[sound:quizlet-16914793157-back.mp3];"<img src=""quizlet-pMfPGuBetHGJL0r0xMontA.jpg"">"
