Rozdzial;Pomiar i jednostki
Slowo;Definicja;Synonimy;AudioE;AudioP;Obrazy
absolute;absolutny;Synonimy: complete, utter, illimitable;[sound:quizlet-16914755261-front.mp3];[sound:quizlet-16914755261-back.mp3];"<img src=""quizlet-2s4vWknXWf.9LHI-p1CU2Q.jpg"">"
absolute zero;zero absolutne;;[sound:quizlet-16914755262-front.mp3];[sound:quizlet-16914755262-back.mp3];"<img src=""quizlet-gTsnAgfWmGdlSdMYJYv4tg.png"">"
acceleration;przyśpieszenie;Synonimy: speeding;[sound:quizlet-16914755269-front.mp3];[sound:quizlet-16914755269-back.mp3];"<img src=""quizlet-r3Cw8y6ThmKaYFz8TeLbbQ.jpg"">"
acre;akr;;[sound:quizlet-16914755284-front.mp3];[sound:quizlet-16914755284-back.mp3];"<img src=""quizlet-ytJ2elsv4OShditneZewkg.png"">"
aliquot;podwielokrotność;;[sound:quizlet-16914755332-front.mp3];[sound:quizlet-16914755332-back.mp3];"<img src=""quizlet-xCwTAM0-ZdU5U.AdSjSG8A.jpg"">"
altitude;wysokość;Synonimy: height, amount, level;[sound:quizlet-16914755342-front.mp3];[sound:quizlet-16914755342-back.mp3];"<img src=""quizlet-s7he1BEK641TPkGnkWilOQ.jpg"">"
ampere;amper;;[sound:quizlet-16914755354-front.mp3];[sound:quizlet-16914755354-back.mp3];"<img src=""quizlet-wizSpuD5wRtwmmsnLJ.oBw.png"">"
amplitude;amplituda;;[sound:quizlet-16914755356-front.mp3];[sound:quizlet-16914755356-back.mp3];"<img src=""quizlet-99zzJyRFnl8nrc8csA4RtQ.png"">"
area;powierzchnia;Synonimy: surface;[sound:quizlet-16914755397-front.mp3];[sound:quizlet-16914755397-back.mp3];"<img src=""quizlet-4gOmyjFS2.pfJLRg-CoCiw.jpg"">"
atmospheric pressure;ciśnienie atmosferyczne;;[sound:quizlet-16914755421-front.mp3];[sound:quizlet-16914755421-back.mp3];"<img src=""quizlet-Jb98Jj1WYzbf2A8olj5Ahg.png"">"
average;średni;Synonimy: medium, mean, mid;[sound:quizlet-16914755431-front.mp3];[sound:quizlet-16914755431-back.mp3];"<img src=""quizlet-.Zv.F-ijMuxaUbIzU-b6jg.png"">"
boiling point;temperatura wrzenia;;[sound:quizlet-16914769532-front.mp3];[sound:quizlet-16914769532-back.mp3];"<img src=""quizlet-CjGSWdNxiKoUbCNpMIl9kA.jpg"">"
bulk;objętość;Synonimy: capacity;[sound:quizlet-16914769558-front.mp3];[sound:quizlet-16914769558-back.mp3];"<img src=""quizlet-nAF979ryA-1lWUn78iBTQw.jpg"">"
calibre;kaliber;;[sound:quizlet-16914769576-front.mp3];[sound:quizlet-16914769576-back.mp3];"<img src=""quizlet-momavpeb.bEc2ZH2UeGbNA.png"">"
coefficient;współczynnik;Synonimy: factor, ratio;[sound:quizlet-16914779143-front.mp3];[sound:quizlet-16914779143-back.mp3];"<img src=""quizlet-2kSC1lAN2.ZONwPaA5HVpw.jpg"">"
coefficient of performance;współczynnik wydajności;Synonimy: performance coefficient;[sound:quizlet-16914779144-front.mp3];[sound:quizlet-16914779144-back.mp3];"<img src=""quizlet-pS.uWVEzMVFkRwN6YKerzA.jpg"">"
cubic;sześcienny;;[sound:quizlet-16914786269-front.mp3];[sound:quizlet-16914786269-back.mp3];"<img src=""quizlet-Drwrr_aZnGrBfEFHGOnoHw.jpg"">"
decametre;dekametr;;[sound:quizlet-16914786282-front.mp3];[sound:quizlet-16914786282-back.mp3];"<img src=""quizlet-3pKCfZCuQusp1c1WndSavQ.jpg"">"
