Rozdzial;Proces budowlany
Slowo;Definicja;Synonimy;AudioE;AudioP;Obrazy
above ground level;powyżej poziomu gruntu;;[sound:quizlet-16914755256-front.mp3];[sound:quizlet-16914755256-back.mp3];"<img src=""quizlet-p0xGt7KWqe6vNXhfzk53dw.jpg"">"
access;dostęp;Synonimy: admission, accession;[sound:quizlet-16914755271-front.mp3];[sound:quizlet-16914755271-back.mp3];"<img src=""quizlet-fBaNW4MOzBXM2l6GTMyHcQ.jpg"">"
accumulation;akumulacja;;[sound:quizlet-16914755275-front.mp3];[sound:quizlet-16914755275-back.mp3];"<img src=""quizlet-2aZZmilbaainuhZIuNjcgQ.jpg"">"
activity;czynność;Synonimy: action, function, work;[sound:quizlet-16914755288-front.mp3];[sound:quizlet-16914755288-back.mp3];"<img src=""quizlet-5d-tnI9FtmCDJOToyz9oUA.jpg"">"
adjacent;sąsiadujący;;[sound:quizlet-16914755295-front.mp3];[sound:quizlet-16914755295-back.mp3];"<img src=""quizlet-cI1kbH9P71fKAWxN-da0eQ.png"">"
advance;postęp;Synonimy: progress, progression, advancement;[sound:quizlet-16914755300-front.mp3];[sound:quizlet-16914755300-back.mp3];"<img src=""quizlet-rACDBPc2xkf5UKZqS6yjLg.jpg"">"
alignment;wyrównanie;Synonimy: equalisation;[sound:quizlet-16914755331-front.mp3];[sound:quizlet-16914755331-back.mp3];"<img src=""quizlet-r3FPdEkiA-.NdD2806iMbw.jpg"">"
ambiguity;dwuznaczność;Synonimy: equivocation, prevarication;[sound:quizlet-16914755348-front.mp3];[sound:quizlet-16914755348-back.mp3];"<img src=""quizlet-n-GUpCWW-aWAMeNcgRwNgA.png"">"
amendment;poprawka;Synonimy: correction, adjustment, rectification;[sound:quizlet-16914755350-front.mp3];[sound:quizlet-16914755350-back.mp3];"<img src=""quizlet-RRNULXUJf9ghmI5HRg8zhw.jpg"">"
analysis;analiza;;[sound:quizlet-16914755359-front.mp3];[sound:quizlet-16914755359-back.mp3];"<img src=""quizlet-OTW.dsfDxqAugvqPQXtKZA.jpg"">"
