Rozdzial;Rysunek techniczny i wizualizacja
Slowo;Definicja;Synonimy;AudioE;AudioP;Obrazy
abscissa;odcięta;;[sound:quizlet-16914755260-front.mp3];[sound:quizlet-16914755260-back.mp3];"<img src=""quizlet-zBjlQJobK6qpSBzX5Q9ZcA.jpg"">"
acute angle;kąt ostry;;[sound:quizlet-16914755290-front.mp3];[sound:quizlet-16914755290-back.mp3];"<img src=""quizlet-N9mzakW9nnfHGpsKIetO0Q.png"">"
algorithm;algorytm;;[sound:quizlet-16914755330-front.mp3];[sound:quizlet-16914755330-back.mp3];"<img src=""quizlet-06NL2MgcRbgG-5FbgElUDw.jpg"">"
angled;pod kątem;;[sound:quizlet-16914755367-front.mp3];[sound:quizlet-16914755367-back.mp3];"<img src=""quizlet-VCpUIL6H.JA24UhAPEOFLA.png"">"
angular;kątowy;;[sound:quizlet-16914755368-front.mp3];[sound:quizlet-16914755368-back.mp3];"<img src=""quizlet-NXfhqyqY0p2GrVm7FuIA8g.jpg"">"
arrow;strzałka;;[sound:quizlet-16914755406-front.mp3];[sound:quizlet-16914755406-back.mp3];"<img src=""quizlet-8SMFhhirjvNQwkJK0gxYJQ.jpg"">"
aspect ratio;współczynnik proporcji;;[sound:quizlet-16914755416-front.mp3];[sound:quizlet-16914755416-back.mp3];"<img src=""quizlet-22zvyNt5xvFUjhaDfew3hQ.jpg"">"
azimuth;azymut;;[sound:quizlet-16914755437-front.mp3];[sound:quizlet-16914755437-back.mp3];"<img src=""quizlet-XCBtP-Zgr9MT46pHN1MaiQ.png"">"
bar chart;wykres słupkowy;;[sound:quizlet-16914755447-front.mp3];[sound:quizlet-16914755447-back.mp3];"<img src=""quizlet-AQOUZtqoM4Y4HZHPcHs7Sg.jpg"">"
Cartesian coordinates;współrzędne Kartezjańskie;;[sound:quizlet-16914769591-front.mp3];[sound:quizlet-16914769591-back.mp3];"<img src=""quizlet-m5gaE-wuRvkWnY4Wi4AhqA.png"">"
coordinates;współrzędne;;[sound:quizlet-16914779186-front.mp3];[sound:quizlet-16914779186-back.mp3];"<img src=""quizlet-WSCHaNJtqucPu0t2HGcQUQ.jpg"">"
ellipse;elipsa;;[sound:quizlet-16914793022-front.mp3];[sound:quizlet-16914793022-back.mp3];"<img src=""quizlet-mjHKTWIZkTwZkXpwwG29wQ.jpg"">"
graph;wykres;Synonimy: chart, diagram;[sound:quizlet-16914793151-front.mp3];[sound:quizlet-16914793151-back.mp3];"<img src=""quizlet-ePhctjvYNjLlAjoECU31bA.jpg"">"
parallel;równolegle;;[sound:quizlet-16914797929-front.mp3];[sound:quizlet-16914797929-back.mp3];"<img src=""quizlet-EWYjqQBSL3f.IS0D6rT1cw.png"">"
perpendicular;prostopadły;;[sound:quizlet-16914797945-front.mp3];[sound:quizlet-16914797945-back.mp3];"<img src=""quizlet-SGmS0KV1gET5r20agC1cVA.jpg"">"
pie chart;wykres kołowy;;[sound:quizlet-16914797948-front.mp3];[sound:quizlet-16914797948-back.mp3];"<img src=""quizlet-m7RRP710vy-TmkI6U8FtjQ.jpg"">"
