Rozdzial;Style, ornamenty, sztuka i historia
Slowo;Definicja;Synonimy;AudioE;AudioP;Obrazy
abacus;abakus;;[sound:quizlet-16914755255-front.mp3];[sound:quizlet-16914755255-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074362_191228_1600_11.jpg'>
acanthus leaf;liść akantu;;[sound:quizlet-16914755268-front.mp3];[sound:quizlet-16914755268-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074364_191228_1603_11.jpg'>
acroterion;akroterion;;[sound:quizlet-16914755285-front.mp3];[sound:quizlet-16914755285-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236068531_191228_1606_54.jpg'>
amorphous;bezpostaciowy, bezkształtny;Synonimy: formless, shapeless;[sound:quizlet-16914755353-front.mp3];[sound:quizlet-16914755353-back.mp3];"<img src=""quizlet-g.dqrY9LAOGKoY2kMhrYnA.jpg"">"
annulet;szyjka;;[sound:quizlet-16914755375-front.mp3];[sound:quizlet-16914755375-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074370_191228_1600_44.jpg'>
antefix;antefiks;;[sound:quizlet-16914755376-front.mp3];[sound:quizlet-16914755376-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236068535_191228_1604_29.jpg'>
Architectural style;styl architektoniczny;;[sound:quizlet-16914755393-front.mp3];[sound:quizlet-16914755393-back.mp3];"<img src=""quizlet-Ft9SNFiXaUZvAAKJsdVnxA.jpg"">"
architecture;architektura;;[sound:quizlet-16914755394-front.mp3];[sound:quizlet-16914755394-back.mp3];"<img src=""quizlet-unsY2HSi72XHE1AukBzujA.jpg"">"
astragal;astragal;;[sound:quizlet-16914755420-front.mp3];[sound:quizlet-16914755420-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236068543_191228_1603_26.jpg'>
Corinthian order;porządek koryncki;;[sound:quizlet-16914779190-front.mp3];[sound:quizlet-16914779190-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074994_191228_1602_01.jpg'>
