Rozdzial;Budynki
Slowo;Definicja;Synonimy;AudioE;AudioP;Obrazy
aisle;nawa boczna;;[sound:quizlet-16914755327-front.mp3];[sound:quizlet-16914755327-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074366_200114_1617_41.jpg'>
ambulatory;ambit;;[sound:quizlet-16914755349-front.mp3];[sound:quizlet-16914755349-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236068533_200114_1617_18.jpg'>
apse;apsyda;;[sound:quizlet-16914755383-front.mp3];[sound:quizlet-16914755383-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236068536_200114_1616_35.jpg'>
apsidiole;absydiola;;[sound:quizlet-16914755384-front.mp3];[sound:quizlet-16914755384-back.mp3];"<img src=""quizlet-pLTTt53wfbQvHLjb4w2mYg.jpg"">"
arcade;arkada;;[sound:quizlet-16914755391-front.mp3];[sound:quizlet-16914755391-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236068540_191229_1730_33.jpg'>
atrium;atrium;;[sound:quizlet-16914755424-front.mp3];[sound:quizlet-16914755424-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214374544_191229_1717_45.jpg'>
attic;poddasze;Synonimy: garret;[sound:quizlet-16914755426-front.mp3];[sound:quizlet-16914755426-back.mp3];"<img src=""quizlet-wZX53zNnyXYTrKZCQdC2IQ.jpg"">"
auditorium;widownia;;[sound:quizlet-16914755427-front.mp3];[sound:quizlet-16914755427-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074374_200115_1339_55.jpg'>
barbican;barbakan;;[sound:quizlet-16914755448-front.mp3];[sound:quizlet-16914755448-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074773_200114_1640_26.jpg'>
barrack buildings;koszary;Synonimy: barracks;[sound:quizlet-16914755451-front.mp3];[sound:quizlet-16914755451-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074774_200114_1624_14.jpg'>
bartizan;bartyzana/kawaliera;;[sound:quizlet-16914755454-front.mp3];[sound:quizlet-16914755454-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074775_200114_1644_28.jpg'><img src='architektura-i-budownictwo-po-angielsku_2243187c_236074776_200114_1619_07.jpg'>
basement;podziemie/piwnica;Synonimy: cellar;[sound:quizlet-16914769501-front.mp3];[sound:quizlet-16914769501-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074778_200115_1335_56.jpg'>
bastion;bastion;;[sound:quizlet-16914769506-front.mp3];[sound:quizlet-16914769506-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074782_200114_1626_52.jpg'>
battlement;blanki;;[sound:quizlet-16914769509-front.mp3];[sound:quizlet-16914769509-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074785_200114_1626_15.jpg'>
bell tower | tower;wieża;Synonimy: tower;[sound:quizlet-1836243857965074-front.mp3];[sound:quizlet-16914769519-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074791_191229_1742_27.jpg'>
brick building;budynek z cegły;;[sound:quizlet-16914769545-front.mp3];[sound:quizlet-16914769545-back.mp3];"<img src=""quizlet-HGN1ls0wBtVXLZtDKG3ocQ.jpg"">"
bungalow;bungalow;;[sound:quizlet-16914769560-front.mp3];[sound:quizlet-16914769560-back.mp3];"<img src=""quizlet-g6iBPEoJE-I9eeGtQKy4BA.jpg"">"
bunker;bunkier;;[sound:quizlet-16914769561-front.mp3];[sound:quizlet-16914769561-back.mp3];"<img src=""quizlet-IQNIV1E0E0XKUPw4f3YE1A.jpg"">"
caponier;kaponiera;;[sound:quizlet-16914769581-front.mp3];[sound:quizlet-16914769581-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074960_200114_1628_50.jpg'>
castle;zamek (budowla);;[sound:quizlet-16914779102-front.mp3];[sound:quizlet-16914779102-back.mp3];"<img src=""quizlet-52158537_7a24d5bab6.jpg"">"
cathedral;katedra;;[sound:quizlet-16914779104-front.mp3];[sound:quizlet-16914779104-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074967_200115_1355_50.jpg'>
central nave;nawa główna;;[sound:quizlet-16914779113-front.mp3];[sound:quizlet-16914779113-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074972_191229_1726_29.jpg'>
chapel;kaplica;;[sound:quizlet-16914779122-front.mp3];[sound:quizlet-16914779122-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074974_200114_1642_02.jpg'>
chemise;obwarowanie stołbu;;[sound:quizlet-16914779124-front.mp3];[sound:quizlet-16914779124-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074975_200114_1644_45.jpg'>
chevet;kaplice boczne;;[sound:quizlet-16914779125-front.mp3];[sound:quizlet-16914779125-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074976_200114_1616_55.jpg'>
choir;prezbiterium;Synonimy: presbytery;[sound:quizlet-16914779129-front.mp3];[sound:quizlet-16914779129-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074978_200114_1552_47.jpg'>
church;kościół;;[sound:quizlet-16914779130-front.mp3];[sound:quizlet-16914779130-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074979_200115_1351_46.jpg'>
commercial premises;dom handlowy;Synonimy: trade building;[sound:quizlet-16914779151-front.mp3];[sound:quizlet-16914779151-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074983_200115_1347_54.jpg'>
conference centre;centrum kongresowe;Synonimy: convention center;[sound:quizlet-16914779169-front.mp3];[sound:quizlet-16914779169-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074987_200115_1354_35.jpg'>
corner tower;wieża narożna;;[sound:quizlet-16914779192-front.mp3];[sound:quizlet-16914779192-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074996_200114_1631_57.jpg'>
cottage;chata;;[sound:quizlet-16914779196-front.mp3];[sound:quizlet-16914779196-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074998_191228_1541_34.jpg'>
counterguard;przeciwstraż;;[sound:quizlet-16914779197-front.mp3];[sound:quizlet-16914779197-back.mp3];"<img src=""contregarde.jpg"">"
counterscarp;przeciwskarpa;;[sound:quizlet-16914786255-front.mp3];[sound:quizlet-16914786255-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075000_200114_1618_45.jpg'>
courtyard;dziedziniec;;[sound:quizlet-16914786257-front.mp3];[sound:quizlet-16914786257-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075001_191229_1728_13.jpg'>
covered parapet walk;kryty ganek;Synonimy: covered porch;[sound:quizlet-16914786260-front.mp3];[sound:quizlet-16914786260-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075002_200114_1632_45.jpg'>
crenel;wrąb blanki;;[sound:quizlet-16914786263-front.mp3];[sound:quizlet-16914786263-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075003_200114_1645_32.jpg'>
crossing;skrzyżowanie nawy i transeptu;;[sound:quizlet-16914786265-front.mp3];[sound:quizlet-16914786265-back.mp3];"<img src=""quizlet-ByWH8I65PN6jyhjPqRovsg.jpg"">"
detached house;dom jednorodzinny;Synonimy: large detached house;[sound:quizlet-16914786302-front.mp3];[sound:quizlet-16914786302-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075045_200115_1344_36.jpg'>
embrasure;stanowiska dział;;[sound:quizlet-16914793026-front.mp3];[sound:quizlet-16914793026-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075152_200114_1626_32.jpg'>
first floor;pierwsze piętro;;[sound:quizlet-16914793077-front.mp3];[sound:quizlet-16914793077-back.mp3];"<img src=""quizlet-lmiJ1WUJaUreoHKsSu3Pvw.jpg"">"
flanking tower;baszta;;[sound:quizlet-16914793083-front.mp3];[sound:quizlet-16914793083-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075185_200114_1632_28.jpg'>
flies;nadscenie;;[sound:quizlet-16914793086-front.mp3];[sound:quizlet-16914793086-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075187_200115_1343_05.jpg'>
fortification;fortyfikacja;;[sound:quizlet-16914793102-front.mp3];[sound:quizlet-16914793102-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075197_200114_1618_23.jpg'>
fortified wall;mur obronny;;[sound:quizlet-16914793103-front.mp3];[sound:quizlet-16914793103-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075198_191229_1727_59.jpg'>
fountain for ritual ablutions;fontanna i basen do ablucji;;[sound:quizlet-16914793104-front.mp3];[sound:quizlet-16914793104-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075199_191229_1728_44.jpg'>
foyer;foyer;;[sound:quizlet-16914793105-front.mp3];[sound:quizlet-16914793105-back.mp3];"<img src=""quizlet-Bq4mXDLXIJaTnURNIfCvZQ.jpg"">"
gallery;galeria;;[sound:quizlet-16914793126-front.mp3];[sound:quizlet-16914793126-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075272_191229_1744_31.jpg'>
garage;garaż;;[sound:quizlet-16914793128-front.mp3];[sound:quizlet-16914793128-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075273_200115_1309_54.jpg'>
glacis;stok bojowy;;[sound:quizlet-16914793136-front.mp3];[sound:quizlet-16914793136-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075275_200114_1629_49.jpg'>
granary;spichlerz;Synonimy: garner;[sound:quizlet-16914793150-front.mp3];[sound:quizlet-16914793150-back.mp3];"<img src=""quizlet-EnNE0VHRWenTsQQNQ4dQUQ.jpg"">"
grille;wejście do pronaosu;;[sound:quizlet-16914793160-front.mp3];[sound:quizlet-16914793160-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075283_191229_1713_31.jpg'>
ground floor;parter;Synonimy: ground level;[sound:quizlet-16914793165-front.mp3];[sound:quizlet-16914793165-back.mp3];"<img src=""quizlet-6WRe7jniHFRk1if.5ZlwEw.jpg"">"
guardhouse;wartownia;;[sound:quizlet-16914793171-front.mp3];[sound:quizlet-16914793171-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075285_200114_1631_03.jpg'>
high rise block;blok mieszkalny;Synonimy: high rise apartment, block of flats;[sound:quizlet-16914793195-front.mp3];[sound:quizlet-16914793195-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236077306_200115_1351_23.jpg'>
hotel;hotel;;[sound:quizlet-16914797754-front.mp3];[sound:quizlet-16914797754-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236077311_200115_1353_41.jpg'>
house;dom;;[sound:quizlet-16914797755-front.mp3];[sound:quizlet-16914797755-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236077312_200115_1333_58.jpg'>
