Rozdzial;Wykończenia i detale
Slowo;Definicja;Synonimy;AudioE;AudioP;Obrazy
accordion door;drzwi harmonijkowe;Synonimy: concertina type folding door;[sound:quizlet-16914755273-front.mp3];[sound:quizlet-16914755273-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214374404_200115_1146_42.jpg'>
acoustic board;płyta akustyczna;Synonimy: acoustic panel;[sound:quizlet-16914755280-front.mp3];[sound:quizlet-16914755280-back.mp3];"<img src=""quizlet-fUhq.rLk-GnPXuWsHmvtoA.png"">"
acoustic floor;podłoga akustyczna;;[sound:quizlet-16914755281-front.mp3];[sound:quizlet-16914755281-back.mp3];"<img src=""quizlet-HbYtlZ5guQcIVfc1EcCTTA.png"">"
acoustic tile;dachówka akustyczna;;[sound:quizlet-16914755282-front.mp3];[sound:quizlet-16914755282-back.mp3];"<img src=""quizlet-dIwCnya8uTB6EdglRLY0sg.jpg"">"
acoustics;akustyka;;[sound:quizlet-16914755283-front.mp3];[sound:quizlet-16914755283-back.mp3];"<img src=""quizlet-A2dwXfjMqr64BUdt7LEuxw.jpg"">"
acrylic paints;farby akrylowe;;[sound:quizlet-16914755287-front.mp3];[sound:quizlet-16914755287-back.mp3];"<img src=""quizlet-vL1rTCnYsvtPuGf.HupMdw.jpg"">"
alkyd paint;farba alkidowa;;[sound:quizlet-16914755334-front.mp3];[sound:quizlet-16914755334-back.mp3];"<img src=""quizlet-uop85-bA8z1u9NZJwPplkQ.jpg"">"
aluminium roofing;pokrycie aluminiowe;;[sound:quizlet-16914755344-front.mp3];[sound:quizlet-16914755344-back.mp3];"<img src=""quizlet-i-C4LGIHFr4NdNcfx5X4lw.png"">"
aluminium windows;okna aluminiowe;;[sound:quizlet-16914755346-front.mp3];[sound:quizlet-16914755346-back.mp3];"<img src=""quizlet-i4gJn3v-8ZPwVY3Zj88qaQ.jpg"">"
angle tile;płytka kątowa;;[sound:quizlet-16914755365-front.mp3];[sound:quizlet-16914755365-back.mp3];"<img src=""quizlet-BSSfh.FlVDX6xdVdubj96A.jpg"">"
anti-corrosive paints;farby antykorozyjne;;[sound:quizlet-16914755377-front.mp3];[sound:quizlet-16914755377-back.mp3];"<img src=""quizlet-EP1vq1B7PgFIcwd2Ey3F6w.png"">"
Arenberg parquet;parkiet Arenberga;;[sound:quizlet-16914755399-front.mp3];[sound:quizlet-16914755399-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074372_200115_1200_32.jpg'>
balcony;balkon;;[sound:quizlet-16914755443-front.mp3];[sound:quizlet-16914755443-back.mp3];"<img src=""quizlet-SYifqWPI4JAw.WNHqDlbiQ.jpg"">"
baluster;tralka;;[sound:quizlet-16914755445-front.mp3];[sound:quizlet-16914755445-back.mp3];"<img src=""quizlet-1ITNmyt0jqCFf68Om1tQiw.jpg"">"
basement window;okno piwniczne;;[sound:quizlet-16914769503-front.mp3];[sound:quizlet-16914769503-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074779_200115_1303_42.jpg'>
basket weave pattern;parkiet koszykowy;;[sound:quizlet-16914769505-front.mp3];[sound:quizlet-16914769505-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074781_200115_1200_56.jpg'>
bay window;okno wykuszowe;;[sound:quizlet-16914769511-front.mp3];[sound:quizlet-16914769511-back.mp3];"<img src=""quizlet-TJy1vbMWAHqJYWec36FLfA.jpg"">"
blind;żaluzja;Synonimy: louvre, jalousie;[sound:quizlet-16914769530-front.mp3];[sound:quizlet-16914769530-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074792_200115_1143_15.jpg'>
bottom rail;ramiak dolny;;[sound:quizlet-16914769535-front.mp3];[sound:quizlet-16914769535-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074793_200115_1154_04.jpg'>
brick bond woodstrip flooring;ułożenie naprzemienne parkietu;;[sound:quizlet-16914769544-front.mp3];[sound:quizlet-16914769544-back.mp3];"<img src=""quizlet-S-DjT3YpC8FwLb6X1kuEAQ.jpg"">"
canopy;baldachim;Synonimy: baldachin, baldaquin;[sound:quizlet-16914769578-front.mp3];[sound:quizlet-16914769578-back.mp3];"<img src=""quizlet-eHXmQRNDt81QhkVPjwEdxg.jpg"">"
cap;głowica balustrady;;[sound:quizlet-16914769579-front.mp3];[sound:quizlet-16914769579-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074958_200115_1158_55.jpg'>
casement;okiennica;;[sound:quizlet-16914769594-front.mp3];[sound:quizlet-16914769594-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074962_200115_1142_41.jpg'>
casement window;okno dwuskrzydłowe otwierane na zewnątrz;;[sound:quizlet-16914769595-front.mp3];[sound:quizlet-16914769595-back.mp3];"<img src=""quizlet-GLbbamgIadytClQrvjYbrg.jpg"">"
casement window opening inwards;okno dwuskrzydłowe otwierane do wewnątrz;;[sound:quizlet-16914769596-front.mp3];[sound:quizlet-16914769596-back.mp3];"<img src=""quizlet-VnGDso8f7jIZ1e0lSwv1eQ.jpg"">"
ceiling;sufit;;[sound:quizlet-16914779110-front.mp3];[sound:quizlet-16914779110-back.mp3];"<img src=""quizlet-VwN0K0TxplfZT4xvfGwo4Q.png"">"
central stile;środkowy ramiak pionowy;;[sound:quizlet-16914779114-front.mp3];[sound:quizlet-16914779114-back.mp3];"<img src=""central stile.jpg"">"
chamfer;ścięcie;;[sound:quizlet-16914779121-front.mp3];[sound:quizlet-16914779121-back.mp3];"<img src=""quizlet-Qnk6Cz8YJLOSCW8aQ6dm7w.jpg"">"
Chantilly parquet;parkiet Chantilly'ego;;[sound:quizlet-16914808364-front.mp3];[sound:quizlet-16914808364-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075632_200115_1200_04.jpg'>
conventional door;drzwi standardowe;;[sound:quizlet-16914779183-front.mp3];[sound:quizlet-16914779183-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074993_200115_1149_06.jpg'>
covering;pokrycie;Synonimy: coverage;[sound:quizlet-16914786261-front.mp3];[sound:quizlet-16914786261-back.mp3];"<img src=""quizlet-lrAVrXo8JraLYIzDdkZx0A.jpg"">"
dado;boazeria;Synonimy: paneling, wainscot, panelling;[sound:quizlet-16914786276-front.mp3];[sound:quizlet-16914786276-back.mp3];"<img src=""quizlet-jhT8sDyqyyorD1G1iFACRA.jpg"">"
door;brama;Synonimy: gate;[sound:quizlet-16914786326-front.mp3];[sound:quizlet-16914786326-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075050_191229_1727_05.jpg'>
door handle;klamka;Synonimy: doorknob, door knob;[sound:quizlet-16914786327-front.mp3];[sound:quizlet-16914786327-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214375856_200115_1150_56.jpg'>
door lock;zamek od drzwi;;[sound:quizlet-16914786328-front.mp3];[sound:quizlet-16914786328-back.mp3];"<img src=""quizlet-C0haWUKv1TAL9VWvpaDn8Q.jpg"">"
doorframe;rama/framuga drzwi;Synonimy: door frame, door jamb;[sound:quizlet-16914786329-front.mp3];[sound:quizlet-16914786329-back.mp3];"<img src=""quizlet-nYnStth3pJwPQctXlWHJ-A.png"">"
double door;podwójne drzwi;;[sound:quizlet-16914786333-front.mp3];[sound:quizlet-16914786333-back.mp3];"<img src=""quizlet-8BC6fs32vI.F4EHwDznOOg.png"">"
exit door;drzwi wyjściowe;;[sound:quizlet-16914793053-front.mp3];[sound:quizlet-16914793053-back.mp3];"<img src=""quizlet-bP60tpeJH9uBPiR9jFHeMw.jpg"">"
fanlight;naświetlenie;;[sound:quizlet-16914793061-front.mp3];[sound:quizlet-16914793061-back.mp3];"<img src=""quizlet-NKuX-8ZqgFGT2bmcwGtwCA.jpg"">"
fillet;listewka;;[sound:quizlet-16914793066-front.mp3];[sound:quizlet-16914793066-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075181_191228_1555_30.jpg'>
finishing coat;gładź szpachlowa;;[sound:quizlet-16914793069-front.mp3];[sound:quizlet-16914793069-back.mp3];"<img src=""quizlet-MQeygBj79u5-EFJYpygkeA.png"">"
flooring;posadzka;;[sound:quizlet-16914793090-front.mp3];[sound:quizlet-16914793090-back.mp3];"<img src=""quizlet-ZHq3G1FnIvXeWKAbQ0IA.Q.jpg"">"
flooring strip;klepka;;[sound:quizlet-16914793091-front.mp3];[sound:quizlet-16914793091-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075190_200115_1204_18.jpg'>
