Rozdzial;Wyposażenie i wnętrza
Slowo;Definicja;Synonimy;AudioE;AudioP;Obrazy
actuator;aparat;Synonimy: apparatus, camera;[sound:quizlet-16914755289-front.mp3];[sound:quizlet-16914755289-back.mp3];"<img src=""quizlet-Ny07vgY4mPovJWCfyZWb.w.png"">"
alcove;alkierz;;[sound:quizlet-16914755329-front.mp3];[sound:quizlet-16914755329-back.mp3];"<img src=""quizlet--V-5ZDLTxR7EGDme.TJEow.jpg"">"
backdrop;zasłona;Synonimy: curtain, veil;[sound:quizlet-16914755438-front.mp3];[sound:quizlet-16914755438-back.mp3];"<img src=""quizlet-AcqDNxfOJhjtH7F3co.nxA.jpg"">"
bathroom;łazienka;;[sound:quizlet-16914769507-front.mp3];[sound:quizlet-16914769507-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074783_200115_1316_25.jpg'>
bed chamber;cubiculum;Synonimy: bedroom;[sound:quizlet-16914769516-front.mp3];[sound:quizlet-16914769516-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074788_191229_1718_50.jpg'>
bedroom;sypialnia;;[sound:quizlet-16914769517-front.mp3];[sound:quizlet-16914769517-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236074789_200115_1331_22.jpg'>
box;loża;;[sound:quizlet-16914769538-front.mp3];[sound:quizlet-16914769538-back.mp3];"<img src=""quizlet-i5s5c1amYafVE6yzAIFUzg.jpg"">"
built-in;wbudowany;Synonimy: embedded;[sound:quizlet-16914769556-front.mp3];[sound:quizlet-16914769556-back.mp3];"<img src=""quizlet-pZHVfTcQ3vZMD2fXHhb1og.jpg"">"
bulb;żarówka;Synonimy: light bulb;[sound:quizlet-16914769557-front.mp3];[sound:quizlet-16914769557-back.mp3];"<img src=""quizlet--wA2dkxbiOHdGJPTNhmKPg.jpg"">"
burglar alarm;alarm przeciwwłamaniowy;Synonimy: anti-theft alarm;[sound:quizlet-16914769563-front.mp3];[sound:quizlet-16914769563-back.mp3];"<img src=""quizlet-7xtIncBjd8gjwPzbv7HFoA.jpg"">"
cabin;kabina;;[sound:quizlet-16914769571-front.mp3];[sound:quizlet-16914769571-back.mp3];"<img src=""quizlet-7z0jjTCIg885--G3qxwjUw.jpg"">"
ceiling fan;wentylator sufitowy;;[sound:quizlet-16914779111-front.mp3];[sound:quizlet-16914779111-back.mp3];"<img src=""quizlet-1586819_8f92cee864.jpg"">"
control room;reżyserka;;[sound:quizlet-16914779178-front.mp3];[sound:quizlet-16914779178-back.mp3];"<img src=""quizlet-9Jij4dMmlwCcg.zn4NoNzw.png"">"
controls;sterownica;;[sound:quizlet-16914779180-front.mp3];[sound:quizlet-16914779180-back.mp3];"<img src=""quizlet-WcEELPKC7DigXAeQhUPgEw.jpg"">"
cubicle;kabina;Synonimy: cabin;[sound:quizlet-16914786270-front.mp3];[sound:quizlet-16914786270-back.mp3];"<img src=""quizlet-Vocpv4uB7PK7sHaVi376Zg.jpg"">"
curtain;kurtyna;;[sound:quizlet-16914786273-front.mp3];[sound:quizlet-16914786273-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075006_200114_1620_36.jpg'>
daylight;światło dzienne;;[sound:quizlet-16914786280-front.mp3];[sound:quizlet-16914786280-back.mp3];"<img src=""quizlet-G9Qd4rqRAh1FxmocXh8x6w.jpg"">"
dining room;jadalnia;;[sound:quizlet-16914786314-front.mp3];[sound:quizlet-16914786314-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075049_200219_1928_03.jpg'><img src='architektura-i-budownictwo-po-angielsku_2243187c_236075049_200219_1927_15.jpg'>
disabled facilities;udogodnienia dla niepełnosprawnych;;[sound:quizlet-16914786316-front.mp3];[sound:quizlet-16914786316-back.mp3];"<img src=""quizlet-TAPxruCCzEP4HafOzmVqmQ.jpg"">"
doormat;wycieraczka;;[sound:quizlet-16914786330-front.mp3];[sound:quizlet-16914786330-back.mp3];"<img src=""quizlet-aJA3XcqcrBW8M-kg2bfp4w.jpg"">"
drainer;ociekacz;;[sound:quizlet-16914786342-front.mp3];[sound:quizlet-16914786342-back.mp3];"<img src=""quizlet-LeeShUAg7xpctQnmlgV1NQ.jpg"">"
dressing room;garderoba;Synonimy: walk in wardrobe, walk in closet, walk in;[sound:quizlet-16914786344-front.mp3];[sound:quizlet-16914786344-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075056_200219_2040_34.jpg'><img src='architektura-i-budownictwo-po-angielsku_2243187c_236075056_200115_1314_39.jpg'>
elevator;winda;Synonimy: lift, hoist;[sound:quizlet-16914793020-front.mp3];[sound:quizlet-16914793020-back.mp3];"<img src=""quizlet-bGUBIUCE3MQfTJch07Lt.g.jpg"">"
entry phone;domofon;Synonimy: intercom;[sound:quizlet-16914793038-front.mp3];[sound:quizlet-16914793038-back.mp3];"<img src=""quizlet-CLnPnfl7KLeSPdvS1oHH8g.jpg"">"
escalator;ruchome schody;;[sound:quizlet-16914793048-front.mp3];[sound:quizlet-16914793048-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214375952_200115_1339_33.jpg'>
extinguisher;gaśnica;Synonimy: fire extinguisher;[sound:quizlet-16914793057-front.mp3];[sound:quizlet-16914793057-back.mp3];"<img src=""quizlet-wjVa3CyVTtXq3BvP5oykgg.jpg"">"
faucet;kran;Synonimy: tap;[sound:quizlet-16914793064-front.mp3];[sound:quizlet-16914793064-back.mp3];"<img src=""quizlet-pg1XhjFhQ0X6A0cAAplqNA.jpg"">"
fireplace;kominek;;[sound:quizlet-16914793074-front.mp3];[sound:quizlet-16914793074-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075182_200115_1310_59.jpg'>
fittings;armatura;Synonimy: armature;[sound:quizlet-16914793079-front.mp3];[sound:quizlet-16914793079-back.mp3];"<img src=""quizlet-YPAgm5gjgqRc56.UktMXPQ.jpg"">"
freight elevator;winda towarowa;;[sound:quizlet-16914793110-front.mp3];[sound:quizlet-16914793110-back.mp3];"<img src=""quizlet-h22HSZB2lZBQMstCefkflQ.png"">"
glare;blask;Synonimy: shine, glamour, brilliance;[sound:quizlet-16914793137-front.mp3];[sound:quizlet-16914793137-back.mp3];"<img src=""quizlet-opvM83WWoohQP2mx1S2dfQ.jpg"">"
hallway;korytarz;Synonimy: corridor;[sound:quizlet-16914793178-front.mp3];[sound:quizlet-16914793178-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236077301_200115_1315_00.jpg'>
hanger;wieszak;;[sound:quizlet-16914793183-front.mp3];[sound:quizlet-16914793183-back.mp3];"<img src=""quizlet-OKQKYrLFgq17WBbn-kF1QQ.jpg"">"
illuminance;natężenie oświetlenia;;[sound:quizlet-16914797764-front.mp3];[sound:quizlet-16914797764-back.mp3];"<img src=""quizlet-Tz860L9pW8ELkmxrCj7akw.jpg"">"
illumination;oświetlenie;Synonimy: lighting;[sound:quizlet-16914797765-front.mp3];[sound:quizlet-16914797765-back.mp3];"<img src=""quizlet-Tz860L9pW8ELkmxrCj7akw.jpg"">"
