alkaline battery;akumulator zasadowy;;x;x
battery terminal;czop biegunowy;;x;x
cable shoe;zacisk przewodu, klema;cable socket;x;x
cell;ogniwo;;x;x
centrifugal clutch;sprzęgło odśrodkowe;;x;x
brush;szczotka (w silniku elektrycznym);generator brush;x;x
dynamo;prądnica;generator;x;x
electronic ignition;zapłon elektroniczny;;x;x
fog light;reflektor przeciwmgłowy;;x;x
fuse;bezpiecznik;;x;x
headlight leveler;nastawnik relfektorów;;x;x
ignition coil;cewka zapłonowa;;x;x
interior lighting;oświetlenie wnętrza;;x;x
lead battery;akumulator ołowiowy;;x;x
lead-acid battery;akumulator kwasowy;;x;x
magneto;iskrownik;;x;x
overcharge;przeładować, przeciążyć;;x;x
rectifier;prostownik (urządzenie zmieniające prąd przemienny na stały);;x;x
reflector;odbłyśnik;;x;x
short circuit;zwarcie, spięcie;;x;x
starter;rozrusznik;;x;x
low beam headlamp;światła mijania;;x;x
high beam headlamp;światła drogowe;;x;x
undercharge;nie doładować;;x;x
winding;uzwojenie;;x;x
wiring harness;okablowanie;;x;x
