bolt;śruba;screw;x;x
box spanner;klucz nasadowy;;x;x
conical bearing;łożysko stożkowe;;x;x
double-ended spanner;klucz płaski dwustronny;;x;x
feeler gauge;szczelinomierz płytkowy, metryczny, kieszonkowy;;x;x
grease gun;smarownica;;x;x
lock washer;nakrętka sprężynująca;spring washer;x;x
nut;nakrętka;;x;x
pressure gauge;ciśnieniomierz;;x;x
puller;ściągacz;;x;x
ring spanner;klucz oczkowy;;x;x
roller bearing;łożysko walcowe;;x;x
rolling bearing;łożysko toczne;;x;x
screwdriver;wkrętak;;x;x
tools;narzędzia;;x;x
washer;podkładka;;x;x
wing nut;nakrętka motylkowa;;x;x
