car heater;nagrzewnica;;x;x
center pillar;słupek środkowy;;x;x
condenser;skraplacz;;x;x
defroster;odmrażacz;;x;x
door hinge;zawias drzwi;;x;x
door lock;zamek drzwi;;x;x
evaporator;odparowywacz;;x;x
front mudguard;błotnik przedni;front fender;x;x
front pillar;słupek przedni;;x;x
front seat;siedzenie przednie;;x;x
fuel heater;nagrzewnica płomieniowa;gas heater;x;x
grab handle;cykor łapka;;x;x
mileage indicator;wskaźnik przebiegu;;x;x
water heater;nagrzewnica wodna;;x;x
window winder;korba opuszczania szyby;;x;x
windscreen pillar;słupek okna przedniego;;x;x
windscreen washer;spryskiwacz;;x;x
