automatic variable transmission;przekładnia bezstopniowa;;x;x
brake disc;tarcza hamulca;;x;x
cardan joint;przegub krzyżakowy, kardana;;x;x
cardan shaft;wał kardana;;x;x
speed gear change;widełki przełączania biegów;shifter fork;x;x
clutch housing;"""dzwon"" sprzęgła";;x;x
clutch plate;tarcza sprzęgła;;x;x
differential;mechanizm różnicowy;;x;x
differential interlock;blokada mechanizmu różnicowego;;x;x
double plate clutch;sprzęgło dwutarczowe;;x;x
flange joint;złącze kołnierzowe;;x;x
propshaft joint;przegub/łącznik elastyczny;;x;x
fluid coupling;sprzęgło hydrokinetyczne;;x;x
gear stick;dźwignia zmiany biegów;;x;x
grease nipple;smarowniczka;;x;x
hydraulic torque converter;przekładnia hydrokinetyczna;;x;x
hydrostatic transmission;przekładnia hydrostatyczna;;x;x
input shaft;wał wejściowy, sprzęgłowy;;x;x
leaf spring;resor piórowy;;x;x
limited slip differential;dyferencjał o ograniczonym poślizgu;;x;x
output shaft;wał zdawczy;;x;x
planet gear;satelit przekładni planetarnej;;x;x
plate lining;okładzina cierna;;x;x
pressure plate;tarcza dociskowa;;x;x
pressure spring;sprężyna dociskowa;;x;x
universal joint;krzyżak wału napędowego;;x;x
reduction gearbox;terenowa skrzynia biegów, reduktor;;x;x
release sleeve;tuleja wyciskowa;;x;x
release thrust bearing;łożysko wyciskowe;;x;x
rigid driving axle;most napędowy;;x;x
selector;wybierak;;x;x
single plate clutch;sprzęgło jednotarczowe;;x;x
tripod hub;krzyżak przegubu;trunnion;x;x
articulated swing axle;przegubowy most pędny;;x;x
timing belt;pas zębaty/rozrządu;;x;x
transfer case;rozdzielcza skrzynia biegów;trasfer box;x;x
wheel hub;piasta koła;;x;x
wheel reduction gear;zwolnica;;x;x
