adjusting;korygowanie;;x;x
advanced ignition;zapłon przedwczesny;;x;x
assembling clearance;luz montażowy;;x;x
carbon deposit;nagar;;x;x
clutch slip;poślizg sprzęgła;;x;x
declutching;wysprzęglanie;;x;x
drained oil;zużyty olej;;x;x
driven;napędzany, pędzony;;x;x
emery cloth;papier ścierny;;x;x
engine torque;moment obrotowy silnika;;x;x
file;pilnik;;x;x
gear oil;olej przekładniowy;;x;x
grinding;szlifowanie;;x;x
high-speed engine;silnik wysokoobrotowy;;x;x
honing;honowanie;;x;x
hydraulic oil;olej hydrauliczny;;x;x
hypoid oil;olej hipoidalny;;x;x
ignition advance;wyprzedzenie zapłonu;;x;x
ignition delay;opóźnienie zapłonu;;x;x
load capacity;ładowność;;x;x
lubricant film;film smarny;;x;x
mechanical wear;zużycie mechaniczne;;x;x
mineral oil;olej mineralny;;x;x
octane number;liczba oktanowa;;x;x
over-steering;nadsterowność;;x;x
overhaul;przegląd techniczny;;x;x
overhead valve engine;silnik górnozaworowy;;x;x
punch;punktak;;x;x
racing the engine;rozbieganie silnika;;x;x
reconditioning;regeneracja;;x;x
running in;docieranie;break in;x;x
sandblasting;piaskowanie;;x;x
scrapping;złomowanie;;x;x
screw tap;gwintownik;;x;x
side-valve engine;silnik dolnozaworowy;;x;x
spare part;część zamienna;;x;x
spinking;spalanie stukowe;knocking;x;x
synthetic oil;olej syntetyczny;;x;x
torque spanner;klucz dynamometryczny;;x;x
tyre puncture;przebicie opony;tire puncture;x;x
under-steering;podsterowność;;x;x
viscosity index;wskaźnik lepkości;;x;x
volatility;lotność;;x;x
wheel balance;wyrównoważanie koła;;x;x
air filter;filtr powietrza;;x;x
cabin filter;filtr kabinowy;;x;x
bed in;dotrzeć się, ułożyć (o klockach);;x;x
inspection pit;kanał;;x;x
rust remover;odrdzewiacz, zmywacz rdzy;;x;x
solvent;rozpuszczalnik;;x;x
fire extinguisher;gaśnica;;x;x
first aid kit;apteczka;;x;x
antifreezer;odmrażacz, środek zapogiegający zamarzaniu;;x;x
oxidizer;utleniacz;;x;x
