air bag spring;resor poduszkowy;;x;x
air storage tank;zbiornik powietrza;;x;x
air tube;dętka opony;;x;x
ball joint;przegub kulowy;;x;x
brake caliper;zacisk hamulca;;x;x
brake pad;klocek hamulcowy;;x;x
brake pipe;przewód hamulcowy;brake tube;x;x
brake shoe;szczęka hamulca;;x;x
braking system;układ hamulcowy;;x;x
braking-force regulator;korektor siły hamowania;;x;x
damper valve;zawór dławiący;;x;x
disc brake;hamulec tarczowy;;x;x
drum brake;hamulec bębnowy;;x;x
emergency brake;hamulec awaryjny;;x;x
equalizing valve;zawór wyrównawczy;;x;x
expander;rozpierak;;x;x
flexible brake pipe;elastyczny przewód hamulcowy;;x;x
foot brake;hamulec nożny;;x;x
frame side member;podłużnica ramy;;x;x
front axle beam;belka osi przedniej;;x;x
hydro-pneumatic suspension;zawieszenie hydropneumatyczne;;x;x
independent suspension;zawieszenie niezależne;;x;x
master cylinder;pompa hamulcowa;;x;x
parking brake;hamulec postojowy;;x;x
pneumatic brake;pneumatyczny układ hamulcowy;;x;x
reaction rod;drążek reakcyjny;;x;x
retarder;zwalniacz, hamulec górski;;x;x
rubber diaphragm;przepona gumowa;;x;x
service brake;hamulec główny;;x;x
servo steering;wspomagany układ kierowniczy;power steering;x;x
single-piston caliper;zacisk jednotłoczkowy;;x;x
steering mechanism;mechanizm kierowniczy;;x;x
studded tyre;opona okolcowana;studded tire;x;x
suspension levelling control;regulacja wzniosu nadwozia;;x;x
swinging caliper;zacisk wahliwy;;x;x
swivel axle;zwrotnica;steering knuckle;x;x
torsion bar;drążek skrętny;;x;x
tread;bieżnik;;x;x
tubeless tyre;opona bezdętkowa;tubeless tire;x;x
water separator;osuszacz;;x;x
wheel rim;obręcz koła;;x;x
