4x4;samochód terenowo-osobowy;SUV;x;x
airbag;poduszka powietrzna;;x;x
brand;marka;;x;x
camper van;samochód kempingowy;recreational vehicle;x;x
car;samochód;;x;x
car showroom;salon samochodowy;;x;x
change the oil;wymienić olej;;x;x
color;kolor;;x;x
convertible;kabriolet;;x;x
coupe;coupe;;x;x
crash;wypadek;accident;x;x
crash test;test zderzeniowy;;x;x
diesel engine;silnik wysokoprężny;;x;x
driving test;egzamin na prawo jazdy;;x;x
economical;oszczędny;;x;x
estate car;kombi;station wagon;x;x
exhaust;wydech;;x;x
fuel consumption;zużycie paliwa;;x;x
go over the speed limit;przekroczyć dozwoloną prędkość;;x;x
handling;prowadzenie;;x;x
hatchback;hatchback;;x;x
headrest;zagłówek;;x;x
hearse;karawan;;x;x
hire a car;wynająć samochód;;x;x
hitch-hiker;autostopowicz;;x;x
lateral airbags;boczne poduszki powietrzne;side airbags;x;x
leather seats;skórzane siedzenia;;x;x
limousine;limuzyna;;x;x
lorry;samochód ciężarowy;truck;x;x
motorway;autostrada;highway;x;x
off-road car;samochód terenowy;;x;x
parking space;miejsce parkingowe;;x;x
passenger seat;siedzenie pasażera;;x;x
people carrier;minivan;minivan;x;x
performance;osiągi;;x;x
petrol;benzyna;gasoline;x;x
petrol station;stacja benzynowa;gas station;x;x
petrol tank;bak;gas tank;x;x
pick up;pick up;;x;x
resale value;wartość odsprzedaży;;x;x
safety;bezpieczeństwo;;x;x
saloon;sedan;sedan;x;x
speed;prędkość;;x;x
speed limit;ograniczenie prędkości;;x;x
sports car;samochód sportowy;;x;x
standard equipment;standardowe wyposażenie;;x;x
steering wheel;kierownica;;x;x
subway;przejazd podziemny;underpass;x;x
top speed;prędkość maksymalna;;x;x
tow a caravan;holować przyczepę kempingową;;x;x
tyre pressure;ciśnienie w oponie;tire pressure;x;x
