accelerator;pedał gazu;gas pedal;x;x
air conditioning;klimatyzacja;;x;x
air suspension;zawieszenie pneumatyczne;;x;x
air vent;nawiew;;x;x
anti-theft alarm;alarm przeciwwłamaniowy;;x;x
armrest;podłokietnik;;x;x
ashtray;popielniczka;;x;x
backrest;oparcie;;x;x
brake pedal;pedał hamulca;;x;x
CD autochanger;zmieniarka płyt CD;;x;x
central locking;zamek centralny;;x;x
child seat;fotelik dziecięcy;;x;x
cigarette lighter;zapalniczka;;x;x
clutch pedal;pedał sprzęgła;;x;x
coolant temperature gauge;wskaźnik temperatury płynu chłodniczego;coolant temperature gage;x;x
cruise control;tempomat;;x;x
cup holder;uchwyt na kubki;;x;x
dashboard;deska rozdzielcza;;x;x
door tray;schowek w drzwiach;;x;x
driver information system;system informowania kierowcy;;x;x
engine lubrication system;układ smarowania silnika;;x;x
engine oil temperature gauge;wskaźnik temperatury oleju;engine oil temperature gage;x;x
equipment;wyposażenie;;x;x
fog lights;światła przeciwmgielne;;x;x
fuel gauge;wskaźnik poziomu paliwa;fuel gage;x;x
gearstick;drążek zmiany biegów;gear shift;x;x
glove compartment;schowek;glove box;x;x
GPS navigation system;nawigacja GPS;;x;x
handbrake;hamulec ręczny;hand brake;x;x
hands-free telephone;zestaw głośnomówiący;;x;x
hazard warning;światła awaryjne;;x;x
headlight cleaning system;system czyszczenia reflektorów;;x;x
heated door mirrors;podgrzewane lusterka boczne;;x;x
horn;klakson;;x;x
ignition;zapłon;;x;x
instrument panel;tablica przyrządów;;x;x
legroom;miejsce na nogi;;x;x
rear-view mirror;lusterko wsteczne;rearview mirror;x;x
rev counter;obrotomierz;;x;x
seat belt;pas bezpieczeństwa;;x;x
seat height;wysokość fotela;;x;x
seat position;pozycja fotela;;x;x
speedometer;prędkościomierz;;x;x
sun visor;osłona przeciwsłoneczna;;x;x
tow-away protection;ochrona przed odholowaniem;;x;x
towing equipment;zestaw holowniczy;;x;x
tyre pressure monitoring;monitorowanie ciśnienia opon;tire pressure monitoring;x;x
upholstery;tapicerka;;x;x
voice control system;system rozpoznawania głosu;;x;x
voltmeter;woltomierz, wskaźnik napięcia;;x;x
xenon headlights;światła ksenonowe;;x;x
infotainment system;system informacyjno-rozrywkowy;;x;x
