automatic gearbox;automatyczna skrzynia biegów;automatic transmission;x;;x
axles;osie;;x;;x
braking-by-wire;akumulator;;x;;x
battery acid;kwas akumulatorowy;;x;;x
brake;hamulec;;x;;x
brake fluid change;wymiana płynu hamulcowego;;x;;x
brake fluid reservoir;zbiornik płynu hamulcowego;;x;;x
brake horsepower;moc efektywna;;x;;x
brake pipes;przewody hamulcowe;;x;;x
clutch;sprzęgło;;x;;x
combustion;spalanie;;x;;x
combustion chamber;komora spalania;;x;;x
combustion control;kontrola spalania;;x;;x
common-rail direct injection;wtrysk bezpośredni common-rail;;x;;x
compression ignition;zapłon samoczynny;;x;;x
coolant;płyn chłodzący;;x;;x
cooling system;układ chłodzenia;;x;;x
crankshaft;wał korbowy;;x;;x
cylinder;cylinder;;x;;x
dipstick;bagnet (oleju silnikowego);;x;;x
electrolyte level;poziom elektrolitu;;x;;x
engine;silnik;motor;x;;x
engine oil filler cap;korek wlewu oleju silnikowego;;x;;x
engine size;pojemność silnika;;x;;x
final drive;przekładnia główna;differential;x;;x
front-wheel drive;napęd na przednie koła;;x;;x
fuel;paliwo;;x;;x
gasoline direct injection;bezpośredni wtrysk benzyny;;x;;x
gearbox;skrzynia biegów;transmission;x;;x
grams per kilometre;gramy na kilometr;;x;;x
gudgeon pin;sworzeń tłokowy;piston pin;x;;x
half shaft;półoś;halfshaft;x;;x
horizontally opposed engine;silnik o przeciwległych cylindrach;;x;;x
in-line engine;silnik rzędowy;;x;;x
intake maniflod;kolektor dolotowy;;x;;x
kilometres per hour;kilometry na godzine;;x;;x
miles per gallon;mile na galon;;x;;x
miles per hour;mile na godzine;;x;;x
Newton metre;miernik Newtona;;x;;x
oil consumption;zużycie oleju;;x;;x
oil sump;miska olejowa;oil pan;x;;x
optional extras;wyposażenie dodatkowe;;x;;x
petrol engine;silnik benzynowy;;x;;x
piston;tłok;;x;;x
power steering reservoir;zbiornik płynu wspomagania kierowniczego;;x;;x
propeller shaft;wał napędowy;;x;;x
radiator expansion tank;zbiornik wyrównawczy;;x;;x
rear-wheel drive;napęd na tylnie koła;;x;;x
revolutions per minute;obroty na minutę;;x;;x
service station;stacja serwisowa;;x;;x
spark ignition;zapłon iskrowy;;x;;x
spark plug;świece zapłonowa;;x;;x
steering arm;ramię kierownicy;;x;;x
swept volume;pojemność skokowa;piston displacement;x;;x
torque;moment obrotowy;;x;;x
trade fair;targi;;x;;x
turbo direct injection;turbodoładowany wtrysk bezpośredni;TDI;x;;x
V-shaped engine;silnik widlasty;;x;;x
washer fluid container;zbiornik płynu do spryskiwaczy;;x;;x
weight distribution;rozkład masy;;x;;x
