acceleration;przyspieszenie;;x;x
aluminium;aluminium;aluminum;x;x
automatic parking system;system automatycznego parkowania;;x;x
body width;szerokość nadwozia;;x;x
boot capacity;pojemność bagażnika;trunk capacity;x;x
brake assist;wspomaganie hamowania;;x;x
braking distance;dystans hamowania;;x;x
brittle;kruchy, łamliwy;;x;x
car body;karoseria;;x;x
catalytic converter;katalizator;;x;x
chassis;podwozie;underbody;x;x
copper;miedź;;x;x
corrosion-resistant;odporny na korozję;;x;x
damper;amortyzator;;x;x
dent-resistant;odporny na wgniecenia;;x;x
disc brakes;hamulce tarczowe;;x;x
drag coefficient;współczynnik oporu aerodynamicznego;Cd value;x;x
ductile;ciągliwy;;x;x
durable;trwały;;x;x
elastic;elastyczny;;x;x
ESP;system elektronicznej kontroli stabilności;;x;x
five-speed gearbox;pięciobiegowa skrzynia biegów;five-speed transmission;x;x
flammable;łatwopalne;;x;x
fluids and lubricants;płyny i smary;;x;x
four-wheel drive;napęd na cztery koła;;x;x
front overhang;zwis przedni;;x;x
glass;szkło;;x;x
heat-resistant;odporny na ciepło;;x;x
height;wysokość;;x;x
immobiliser;immobilizer;immobilizer;x;x
injection moulded;formowane wtryskowo;;x;x
iron;żelazo;;x;x
kerb weight;masa własna;curb weight;x;x
lead;ołów;;x;x
light;lekki;;x;x
load-bearing parts;części nośne;;x;x
Macpherson strut;rozpórka Macphersona;;x;x
magnesium;magnez;;x;x
malleable;kowalny;;x;x
maximum power;maksymalna moc;;x;x
maximum torque;maksymalny moment obrotowy;;x;x
natural;naturalny;;x;x
padded interior parts;wyściełane części wewnętrzne;;x;x
parking sensor;czujnik parkowania;;x;x
rear overhang;zwis tylny;;x;x
rigid;sztywny;;x;x
rimms;obręcze;;x;x
road shocks;wstrząsy;;x;x
rubber;guma;;x;x
running costs;koszty eksploatacji;;x;x
shatterproof;nietłukący;;x;x
start-stop automatic;automatyczna funkcja start/stop;;x;x
steel;stal;;x;x
steering column;kolumna kierownicy;;x;x
suspension;zawieszenie;;x;x
tailgate;klapa bagażnika;;x;x
two-door;dwudrzwiowy;;x;x
urban consumption;konsumpcja miejska;;x;x
vehicle body strength;wytrzymałość pojazdu;;x;x
ventilated;wentylowane;;x;x
wheel base;rozstaw osi;;x;x
wishbone;wahacz;;x;x
zinc;cynk;;x;x
