active body control;zawieszenie hydrauliczne;;x;x
active safety;bezpieczeństwo czynne;;x;x
Anti-lock Braking System;rozwinięcie skrótu ABS;;x;x
ASR;regulacja antypoślizgowa;;x;x
car dealer;sprzedawca samochodów;;x;x
car manufacturer;producent samochodów;;x;x
computer active technology suspension;zawieszenie regulowane komputerowo;;x;x
crossing;skrzyżowanie;intersection;x;x
crumple zone;strefa zgniotu;crash area;x;x
driver;kierowca;;x;x
driving licence;prawo jazdy;driver's license;x;x
dummy;manekin;;x;x
emergency braking;hamowanie awaryjne;;x;x
grip;przyczepność;;x;x
head-on collision;zderzenie czołowe;;x;x
injuries;urazy;;x;x
lane departure warning system;system ostrzegania o zjechaniu z pasa ruchu;;x;x
left-hand drive;kierownica po lewej stronie;left-side drive;x;x
life-threatening;zagrażający życiu;;x;x
NCAP;organizacja oceny bezpieczeństwa pojazdów;;x;x
NHTSA;krajowa administracja bezpieczeństwa ruchu drogowego;;x;x
occupant protection;ochrona pasażera;;x;x
occupant-sensing system;system wykrywający pasażera;;x;x
overtaking;wyprzedzanie;;x;x
passive safety;bezpieczeństwo bierne;;x;x
pedestrian;pieszy;;x;x
power steering;wspomaganie kierownicy;;x;x
retractable steering wheel;chowana kierownica;;x;x
right-hand drive;kierownica po prawej stronie;right-side drive;x;x
rigid roof;sztywny dach;;x;x
roundabout;rondo;traffic circle;x;x
safety feature;mechanizm zabezpieczający;;x;x
safety test;test bezpieczeństwa;;x;x
seat belts;pasy bezpieczeństwa;;x;x
side-on crash;zderzenie boczne;;x;x
speeding;przekroczenie prędkości;;x;x
technical faults;usterki techniczne;;x;x
traffic signal assistant;asystent sygnalizacji świetlnej;;x;x
