alloy;stop, mieszanka;;x;x
assembly line;linia montażowa;;x;x
braking-by-wire;hamowanie wspomagane komputerowo;;x;x
collision avoidance sensors;czujniki unikania kolizji;;x;x
crossover;połączenie kilku typów samochodów;;x;x
crowded roads;zatłoczone drogi;;x;x
diesel-powered car;samochód na olej napędowy;;x;x
dotted line;linia przerywana;;x;x
drowsy;senny;;x;x
eco-audit;ocena wpływu na środowisko;;x;x
electric current;prąd elektryczny;;x;x
exhaust emission;emisja spalin;;x;x
fuel cells;ogniwa paliwowe;;x;x
gasoline-powered car;samochód benzynowy;;x;x
lock;zamek;;x;x
lubricant;smar;;x;x
navigation;nawigacja;;x;x
occupant;pasażer;;x;x
ownership;własność;;x;x
potential faults;potencjalne usterki;;x;x
prevent accidents;zapobiegać wypadkom;;x;x
reverse;cofać;;x;x
schedule;harmonogram;;x;x
self-cleaning material;materiał samoczyszczący;;x;x
sensor;czujnik;;x;x
significant development;znaczny rozwój;;x;x
solid line;linia ciągła;;x;x
speeding ticket;mandat za przekroczenie prędkości;;x;x
steering-by-wire;prowadzenie wspomagane systemami;;x;x
switches;przełączniki;;x;x
swivelling headlights;obrotowe reflektory;;x;x
target group;docelowa grupa odbiorców;;x;x
traffic jam;korek drogowy;;x;x
voice commands;komendy głosowe;;x;x
voice control;sterowanie głosem;;x;x
