course,intended direction of travel set between two points
heading,the direction to which the nose of the aircraft is pointing
track,the actual path traveled over ground
true,a method of determining the direction in which reference point is set on a geographical pole
magnetic,a method of determining the direction in which reference point is set on a magnetic pole
grid,a method of determining direction in which the reference point is set using pole projection
latitude,the angle between the plane of the equator and the line from the centre of the Earth to the position
longitude,the arc at equator between the Greenwich meridian and the meridian of the place; measured in degrees
meridian,an imaginary line between the North Pole and the South Pole
equator,a great circle with its plane perpendicular to the Earth rotational axis
Tropic of Cancer,the northernmost circle of latitude on Earth at which the Sun can be directly overhead
orthodrome,a circle on the surface of the Earth which plane passes through the centre of the globe
loxodrome,an arc crossing all meridians at the same angle
Tropic of Capricorn,the southernmost circle of latitude on Earth at which the Sun can be directly overhead
small circle,a circle on the surface of Earth whose plane does not pass through the centre of the globe
variation,the angle on the horizontal plane between magnetic north and true north
deviation,the error induced in a compass by unwanted magnetic fields
parallel,an imaginary east-west line circling a globe
density altitude,the altitude at which the air density in the conditions of the standard atmosphere would be equal to the actual air density at the place of observation
radial,a magnetic bearing from station to an aircraft
rate of descent,the vertical velocity at which an aircraft is descending; usually expressed in feet per minute
wind correction angle,the angle between the course and the heading that is required for an aircraft to track that course
blind transmission,a transmission from one station to another in circumstances where two-way communication cannot be established but it is believed that the called station is able to receive the transmission
dead reckoning,a method of navigation based upon known or estimated speeds over elapsed time and course
runway,an area on a land aerodrome prepared for the landing and takeoff of an aircraft
taxiway,a path along which aircraft taxi to or from a runway; usually marked by one or two letters or letter and number
threshold,the beginning of the runway
propeller,a type of fan that transmits power by converting rotational motion into thrust
leading edge,the foremost part of a wing or stabilizer
trailing edge,the rearmost part of a wing or stabilizer
flaps,moving parts mounted on a trailing edge used to increase the lift of an aircraft; especially during takeoffs and landings
slats,moving parts mounted on a leading edge which when deployed; allowing the wing to operate at a higher angle of attack
vertical stabilizer,a still vertical part of an aircraft that is used to maintain the aircraft stability
horizontal stabilizer,a still horizontal part of an aircraft that is used to maintain the aircraft stability
ailerons,moving parts of an aircraft used in pairs to control the aircraft roll
elevator,a moving part of an aircraft used to control the aircraft pitch
rudder,a moving part of an aircraft used to control the aircraft yaw
trim,a moving part of an aircraft used to set the attitude without using control surfaces
pitch,motion about an axis that has its origin at the centre of gravity and is directed towards the bottom of an aircraft
yaw,motion about an axis that has its origin at the centre of gravity and is directed to the right; parallel to a line drawn from wingtip to wingtip
roll,motion about an axis that has its origin at the centre of gravity and is directed forward; parallel to the fuselage reference line
hull,a part of an aircraft that carries passengers and luggage
lift,a force that is perpendicular to the oncoming flow direction which is produced by wings
drag,the aerodynamic force that opposes an aircraft motion through the air
induced drag,the aerodynamic resistance caused by the pressure difference at the top and bottom of the wings
form drag,the aerodynamic resistance caused by the shape of an aircraft
friction drag,the aerodynamic resistance caused by the interaction of air particles with the surface of an aircraft
interference drag,the aerodynamic resistance caused by the way parts of an aircraft are attached to each other
wave drag,the aerodynamic resistance caused by shockwaves occuring at transonic and supersonic flights
altitude,the vertical distance of an aircraft above the mean sea level; measured in feet
Mach number,a number that equals aircraft speed divided by the speed of sound
attitude,the term that describes deviation of the aircraft from horizontal flight
shock wave,a wave forming at transonic and supersonic flights
transonic,the term that describes flights at speeds close the speed of sound
subsonic,the term that describes flights at speeds below the speed of sound
supersonic,the term that describes flights at speeds above the speed of sound
hypoxia,a condition in which the body is deprived of adequate oxygen supply
hyperventilation,a condition in which the rate or tidal volume of breathing eliminates more carbon dioxide than the body can produce
decompression sickness,a condition caused by a rapid decrease of air pressure
air sickness,a specific form of motion sickness induced by air travel
spatial disorientation,the inability to determine one’s position; location; and motion relative to their environment
touch and go,an airplane landing followed immediately by application of power and a takeoff
low pass,a low runway flyby without touchdown
clearance,an instruction by air traffic control for an aircraft
clearance limit,a point to which a specific clearance is valid
decompression,uncontrolled loss of air pressure inside an aircraft
rapid decompression,immediate loss of air pressure inside an aircraft
emergency,a situation in which the flight is threatened by serious danger and immediate help is required
emergency landing,a type of landing in which emergency procedures have to be used
mayday,an emergency callout
urgency,a situation in which the flight is threatened by serious danger; but immediate help is not required
pan-pan,an urgency callout
radio silence,a radio comunication ban enforced in an emergency situation
attenuation,the reduction in power of radio wave
rotation,the action of applying back pressure to a control device to lift the nose wheel off the ground
takeoff roll,the process whereby an aircraft is aligned with the runway centerline and the aircraft is moving forward with the intent to take off
runway incursion,an incident where an unauthorized aircraft; vehicle or person is on a runway
autobrake,a type of automatic wheel-based hydraulic brake system used on touchdown
