absorption tube;rura absorpcyjna
acidimeter;kwasomierz
analyzer;analizator
calorimeter;kalorymetr
centrifuge;wirówka
container;pojemnik
controlled equipment;wyposażenie kontrolowane
equipment;wyposażenie
Erlenmeyer flask;kolba Erlenmeyera
fermentation tube;rura fermentacyjna
fusion reactor;reaktor fuzyjny
flame;płomień
Florence flask;kolba Florence
forceps;kleszcze
fuel ;paliwo
funnel;lejek
fuse;bezpiecznik
goggles;okulary ochronne
graduated cylinder;cylinder miarowy
graduated beaker;zlewka z podziałką
graduated pipette;pipeta z podziałką
laboratory burner;palnik laboratoryjny
magnet;magnes
manometer;manometr
device;urządzenie
medicine dropper;kroplomierz lekarski
particle accelerator;akcelerator cząstek
pipe;rura
capillary tubes;rurki kapilarne
pipette;pipeta
spectrometer;spektrometr
test tube;probówka
test tube holder;uchwyt do rurki testowej
test tube rack;rama rurki testowej
thermonuclear device;narzędzie termonuklearne
tongs;szczypce
transfer pipette;pipeta przekazująca
volumetric flask;kolba miarowa objętości
volumetric pipette;pipeta miary objętości
weighing bottle;butla do ważenia
actinium;aktyn (Ac)
aluminum;glin (Al)
americium;ameryk (Am)
cadmium;kadm (Cd)
berylium;beryl (Be)
calcium;wapń (Ca)
boron;bor (B)
argon;argon (Ar)
arsenic;arsen (As)
bromine;brom (Br)
yttrium;itr (Y)
antimony;antymon (Sb)
barium;bar (Ba)
lutetium;lutet (Lu)
bismuth;bizmut (Bi)
astatine;astat (At)
berkelium;berkel (Bk)
californium;kaliforn (Cf)
rutherfordium;rutherford (Rf)
dubnium;dubn (Db)
seaborgium;seaborg (Sg)
bohrium;bohr (Bh)
hassium;has (Hs)
meitnerium;meitner (Mt)
darmstadtium;darmsztadt (Ds)
roentgenium;roentgen (Rg)
copernicium;kopernik (Cn) 
nihonium;nihonium (Nh)
flerovium;flerow (Fl)
moscovium;moscovium (Mc)
livemorium;liwermor (Lv)
tennessine;tennessine (Ts)
oganesson;oganesson (Og)
carbon;węgiel (C)
cerium;cer (Ce)
cesium;cez (Cs)
chlorine;chlor (Cl)
chromium;chrom (Cr)
cobalt;kobalt (Co)
copper;miedź (Cu)
curium;kiur (Cm)
dysprosium;dysproz (Dy)
einsteinium;einstein (Es)
erbium;erb (Er)
europium;europ (Eu)
fermium;ferm (Fm)
fluorine;fluor (F)
francium;frans (Fr)
gadolinium;gadolin (Gd)
gallium;gal (Ga)
gold;złoto (Au)
germanium;german (Ge)
hafnium;hafn (Hf)
helium;hel (He)
holmium;holm (Ho)
hydrogen;wodór (H)
indium;ind (In)
iodine;jod (J)
iridium;iryd (Ir)
iron;żelazo(Fe)
krypton;krypton (Kr)
lanthanum;lantan (La)
lawrencium;lorens (Lw)
lead;ołów (Pb)
lithium;lit (Li)
magnesium;magnez (Mg)
manganese;mangan (Mn)
mendelevium;mendelew (Md)
mercury;rtęć (Hg)
molybdenum;molibden (Mo)
neodymium;neodym (Nd)
neon;neon (Ne)
neptunium;neptun (Np)
nickel;nikiel (Ni)
niobium;niob (Nb)
nitrogen;azot (N)
nobelium;nobel (No)
osmium;osm (Os)
oxygen;tlen (O)
palladium;pallad (Pd)
phosphorus;fosfor (P)
platinum;platyna (Pt)
plutonium;pluton (Pu)
polonium;polon (Po)
potassium;potas (K)
praseodymium;prazeodym (Pr)
promethium;promet (Pm)
protactinium;protaktyn (Pa)
radium;rad (Ra)
radon;radon (Rn)
rhenium;ren (Re)
rhodium;rod (Rh)
rubidium;rubid (Rb)
ruthenium;ruten (Ru)
samarium;samar (Sm)
scandium;skand (Sc)
selenium;selen (Sn)
silicon;krzem (Si)
silver;srebro (Ag)
sodium;sód (Na)
strontium;stront (Sr)
sulfur;siarka (S)
tantalum;tantal (Ta)
technetium;technet (Tc)
tellurium;tellur (Tr)
terbium;terb (Tb)
thallium;tal (Tl)
thorium;tor (Th)
thulium;tul (Tm)
tin;cyna (Sn)
titanium;tytan (Ti)
tungsten;wolfram (W)
uranium;uran (U)
vanadium;wanad (V)
xenon;ksenon (Xe)
ytterbium;iterb (Yb)
zinc;cynk (Zn)
zirconium;cyrkon (Zr)
aluminium oxide;tlenek glinu
calcium oxide;tlenek wapnia
carbon dioxide;dwutlenek węgla
carbon monoxide;tlenek węgla
chlorine dioxide;ditlenek chloru
dioxide;dwutlenek
hydrogen peroxide;nadtlenek wodoru
iron oxide;tlenek żelaza (III)
lead oxides;tlenki ołowiu
manganese dioxide;tlenek manganu (IV)
manganese (II) oxide;tlenek manganu (II)
oxide;tlenek
oxidant;utleniacz
superoxide;nadtlenek 
trioxide;trójoxide
acid oxide;tlenek kwasowy
basic oxide ;tlenek zasadowy
neutral oxide;tlenek obojętny
calcium carbonate;węglan wapnia
mercuric chloride;chlorek rtęci (I)
calcium chloride;chlorek wapnia
calcium phosphate;fosforan wapnia
calcium sulfate;siarczan wapnia
chromium (II) sulfate;siarczan chromu (II)
lead chromate;chromian ołowiu (II)
normal salt;sól zwykła
potassium nitrate;azotan potasu
potassium permanganate;nadmanganian potasu
sodium chloride;chlorek sodu
sodium bisulfate;wodorosiarczan sodowy
bisulfate;wodorosiarczan
acid-base indicator;wskaźnik kwasu-zasady
colorant;barwnik
carotene;karoten
Congo red;czerwień Kongo
indanthrone blue;błękit indantrenowy
Indian red;rodzaj czerwonego pigmentu zawierającego tlenek żelaza
indicator;wskaźnik
iron blue;błękit żelazowy
ivory black;czerń kostna
litmus paper;papierek lakmusowy
neutral red;obojętna czerwień
peacock blue;zielono-niebieski barwnik
Prussian blue;błękit pruski
tincture;zabarwienie
methyl orange;oranż metylowy
alizarin;alizaryna
acid-base neutralization;reakcja zobojętniania
acidification;zakwaszenie
calcination;kalcynacja
carburetion;karburacja
chain reaction;reakcja łańcuchowa
chemical bond;łączenie chemiczne
chemical equation;równanie chemiczne
chemical equilibrium;równowaga reakcji chemicznych
chemical reaction;reakcja chemiczna
chemisorption;chemisorpcja
combustion;spalanie
condensation;kondensacja
condensation reaction;reakcja kondensacji
crystallization;krystalizacja
decomposition;rozkład 
dehydration;odwadnianie
dehydrogenation;odwodornianie
dehumidification;osuszanie
destructive distillation;destylacja rozkładowa
dialysis;dializa
diffusion;dyfuzja
dilute solution;roztwór rozcieńczony
displacement;wymiana
dissociation;dysocjacja
double replacement;podwójna zamiana
endothermic reaction;reakcja endotermiczna
esterification;estryfikacja
extraction;ekstrakcja
exothermic reaction;reakcja egzotermiczna
fermentation;fermentacja
filtration;filtracja
fission;rozszczepienie jądra atomu
freezing;zamarzanie
hydration;uwadnianie
hydrolysis;hydroliza
ionization;jonizacja
liquefaction;skraplanie
melting;topić się
melting point;punkt skraplania
oxidization;utlenianie
reactant;reagent
reaction mechanism;mechanizm reakcji chemicznych
reaction rate;tempo reakcji
reaction;reakcja
reduction;redukcja
reduction potential;potencjał redukcji
replacement;wymiana
reversible reaction;reakcja odwrotna
saponification;zmydlanie
single replacement;pojedyncza wymiana
slow oxidization;powolne utlenianie
sublimate;sublimat
sublimation;sublimacja
sublime;sublimować
substitution reaction;reakcja podstawiania
substrate;substrat
surface reaction;reakcja powierzchniowa
vaporization;parowanie
volatilize;ulatniać się
water softening;zmiękczanie wody
activation energy;energia aktywacji
activator ;aktywator
active centre;centrum akwytne
alpha emission;emisja alfa
alpha-particle;cząsteczka alfa
alternating current;prąd zmienny
catalyst;katalizator
cathode;katoda
cathode ray;strumień katodowy
cation;kation
conduction;przewodzenie
conductivity;przewodnictwo
conductor;przewodnik
conservation of charge;zachowanie ładunku
decay;rozpad
electric current;prąd elektryczny
electric conductivity;indukcja elektryczna
electrochemical;elektrochemiczny
electrochemical cell;komórka elektrochemiczna
electrochemistry;elektrochemia
electrode;elektroda
galvanization;galwanizacja
electrolysis;elektroliza
electrolyte;elektrolit
electrolytic conduction;przewodnictwo elektrolityczne
electrolyze;poddawać elektrolizie
electromotive force;siła elektromotoryczna
electromotive series ;serie elektromotoryczne
electronegative;elektroujemny
electronegativity;elektroujemność
electropositive;elektrododatni
electrostatic force;siła elektrostatyczna
gamma rays;promienie gamma
inhibitor;inhibitor
initiator;inicjator
alkane;alkan
cykloalkane;cykloalkan
alkyl group;grupa alkilowa
alkyne;alkin
alkene;alken
butane;butan
butene;buten
1-butyne;but-1-yn
2-butyne;but-2-yn
alkadiene;alkadien
cyclohexane;cykloheksan
ethyne;etyn
ethylene;eten
ethane;etan
ethyl;etyl
homocyclic;homocykliczny
methane;metan
pentane;pentan
propylene;propylen
methyl group;grupa metylowa
ethyl group;grupa etylowa
propyl group;grupa propylowa
isopropyl group;grupa izopropylowa
chloromethane;chlorometan
aromatic compound;związek aromatyczny
benzene ring;pierścień benzenowy
naphthalene;naftalen
phenol;fenol
phenolic;fenolowy
toluene;toluen
xylene;ksylen
cyclic hydrocarbon;węglowodór cykliczny
mixed acid;mieszanina nitrująca
nitro group;grupa nitrowa
benzene;benzen
sulfo group;grupa sulfonowa
anthracene;antracen
phenanthrene;fenantren
decalin;dekalina
tetralin;tetralina
absolute alcohol;alkohol absolutny
alcohol;alkohol
benzyl alcohol;alkohol benzylowy
butanol;butanol
butyl alcohol;alkohol butylowy
ethylene glycol;glikol etylenowy
ethyl alcohol;alkohol etylowy
industrial alcohol;alkohol przemysłowy
hydroxyl group;grupa hydroksylowa
isopropyl alcohol;alkohol izopropylowy
methyl alcohol;alkohol metylowy
tertiary alcohol;alkohol trzeciorzędowy
primary alcohol;alkohol pierwszorzędowy
secondary alcohol;alkohol drugorzędowy
alkoxide;alkoholan
glycol ;glikol
acetaldehyde;acetaldehyd
benzaldehyde;aldehyd benzoesowy
formaldehyde;formaldehyd
aldehyde;aldehyd
polyformaldehyde;poliformaldehyd
aldehyde group, formyl;grupa aldehydowa
acetone;aceton
ketone;keton
butanone;butanon
acetophenone;acetofenon
benzophenone;benzofenon
acyl group;grupa acylowa
benzoic acid;kwas benzenokarboksylowy
carbonyl group;grupa karbonylowa
carboxyl group;grupa karboksylowa
carboxylic acid;kwas karboksylowy
citric acid;kwas cytrynowy
fatty acid;kwas tłuszczowy
formic acid;kwas metanowy
nicotinic acid;kwas nikotynowy
acetic acid;kwas etanowy
butanoic acid;kwas butanowy
ethanedioic acid;kwas etanodiowy
palmitic acid;kwas palmitynowy
stearic acid;kwas stearynowy
ester;ester
stearin;stearyna
acid;kwas
acidic;kwasowy
acid anhydride;bezwodnik kwasowy
acid residue;reszta kwasowa
acidity;kwasowość
anhydride;bezwodnik
anhydrous;bezwodny
boric acid;kwas borowy
carbonic acid;kwas węglowy
chromic acid;kwas chromowy
hydrochloric acid;kwas chlorowodorowy
hydrocyanic acid;kwas cyjanowodorowy
nitric acid;kwas azotowy (V)
nitric anhydride;bezwodnik azotowy
nitrous acid;kwas azotowy (III)
oxygen acid;kwas tlenowy
strong acid;mocny kwas
sulfuric acid;kwas siarkowy
ethyl acetate;octan etylu
lipid;tłuszcz
triglyceride;trójgliceryd
saponification value;liczba zmydlania
iodine value;liczba jodowa
wax;wosk
saturated fat;tłuszcze nasycone
animal fats;tłuszcze pochodzenia zwierzęcego
phospholipid;fosfolipid
glycolipid;glikolipid
benzidine;benzydyna
methylamine;metyloamina
amine;amina
aniline;anilina, fenyloamina, aminobenzen
amphetamine;amfetamina
diethylamine;dietyloamina
primary amine;amina pierwszorzędowa
secondary amine ;amina drugorzędowa
tertiary amine;amina trzeciorzędowa
amide;amid
formamide;formamid (metanoamid)
acetamide;acetamid (etanoamid)
carbamide;mocznik (diamid kwasu węglowego)
biuret;biuret (dimocznik)
hydroxy acid;hydroksykwas
lactic acid;kwas mlekowy
salicylic acid;kwas salicylowy
sodium lactate;mleczan sodu
acetylsalicylic acid (aspirin);kwas acetylosalicylowy (aspiryna)
malic acid;kwas jabłkowy
tartaric acid;kwas winowy
glucose;glukoza
maltose;maltoza
peptidase;peptydaza
protein;białko
protein structure;struktura białka
primary structure;struktura pierwszorzędowa
secondary structure;struktura drugorzędowa
tertiary structure;struktura trzeciorzędowa
quaternary structure;struktura czwartorzędowa
protein denaturation;denaturacja białek
salting out;wysalanie białek
biuret test;reakcja biuretowa
xanthoproteic reaction;reakcja ksantoproteinowa
monosaccharides;monosacharydy
oligosaccharide;oligosacharyd
polysaccharide;polisacharyd
saccharide;sacharyd, cukier
fructose;fruktoza
saccharose;sacharoza
lactose;laktoza
cellobiose;celobioza
starch;skrobia
cellulose;celuloza
simple sugar;cukier prosty
amylose;amyloza 
amylopectin;amylopektyna
galactose;galaktoza
alicyclic hydrocarbons;węglowodory alicykliczne
aliphatic hydrocarbons;węglowodory alifatyczne
alkalinity;zasadowość
alkalic;zasadowy
alkali metal;metale alkaliczne
hydrocarbon;węglowodór
amalgam;amalgamat
bronze;brąz
ferrous alloy;stop żelaza
steel;stal
magnalium;magnal
duralumin;duraluminium
cupronickel;miedzionikiel
brass;mosiądz
nichrome;chromonikielina
cast iron;żeliwo
alloy;stop (metalu)
amino acid;aminokwas
glycine;glicyna
alanine;alanina
cysteine;cysteina
serine;seryna
thiol;tiol
phenylalanine;fenyloalanina
peptide bond;wiązanie peptydowe
dipeptide;dwupeptyd
ammonium;amon
ammonia;amoniak
boron hydride;wodorek boru
radical;rodnik
fluoride;fluorek
hydride;wodorek
chloride;chlorek
bromide;bromek
iodide;jodek
bismuthane;wodorek bizmutu
sodium fluoride;fluorek sodu
ammonium chloride;chlorek amonowy
lead bromide;bromek ołowiu
mercury (II) iodide;jodek rtęci (II)
mercury (I)  iodide;jodek rtęci (I)
acid radical;rodnik kwasowy
calcium hydroxide;wodorotlenek wapnia
sodium hydroxide;wodorotlenek sodu
strong base;mocna zasada
weak electrolyte;slaby elektrolit
hydroxide;wodorotlenek
zinc hydroxide;wodorotlenek cynku
aluminum hydroxide;wodorotlenek glinu
magnesium hydroxide;wodorotlenek magnezu
lead (II) hydroxide;wodorotlenek ołowiu (II)
potassium hydroxide;wodorotlenek potasu
barium hydroxide, baryta;wodorotlenek baru
atom;atom
atomic bond;wiązanie atomowe
atomic mass;masa atomowa
