absorption tube;a tube filled with a solid absorbent and used to absorb gases and vapors
acidimeter;an instrument for measuring the amount of acid in a solution
analyzer;an instrument that performs analyses
calorimeter;an object used for the process of measuring the heat of chemical reactions or physical changes as well as heat capacity
centrifuge;an apparatus that rotates at high speed and by centrifugal force separates substances of different densities
container;anything that contains or can contain something, as a carton, box, crate, or can
controlled equipment;an equipment that measures the variables of a technical process, directs the process according to control signals from the process computer system, and provides appropriate signal transformation
equipment;anything kept, furnished, or provided for a specific purpose
Erlenmeyer flask;a type of laboratory flask which features a flat bottom, a conical body, and a cylindrical neck
fermentation tube;a culture tube with a vertical closed arm to collect gas formed in a broth culture by microorganisms
fusion reactor;a reactor for producing atomic energy by nuclear fusion
flame;the visible, gaseous part of a fire
Florence flask;"a type of laboratory flask witch features a round body, a single long neck, and often a flat bottom; used as a container to hold liquids"
forceps;an instrument, as pincers or tongs, for seizing and holding objects, as in surgical operations
fuel ;an energy source for engines, power plants, or reactors
funnel;"a pipe with a wide mouth and a narrow stem; used to channel liquid or fine-grained substances into containers with a small opening"
fuse;an electrical safety device that operates to provide overcurrent protection of an electrical circuit
goggles;a form of protective eyewear that usually enclose and protect the area surrounding the eye in order to prevent particulates, water or chemicals from striking the eyes
graduated cylinder;a narrow, cylindrical container marked with horizontal lines to represent units of measurement and used to precisely measure the volume of liquids
graduated beaker;a cylindrical, flat bottom container marked with horizontal lines to represent units of measurement and used to precisely measure the volume of liquids
graduated pipette;a type of macro pipette consisting of a long tube with a series of graduations
laboratory burner;a mechanical device that burns a gas or liquid fuel into a flame in a controlled manner
magnet;a body, as a piece of iron or steel, that possesses the property of attracting certain substances, as iron
manometer;an instrument for measuring the pressure of a fluid, consisting of a tube filled with a liquid, the level of the liquid being determined by the fluid pressure and the height of the liquid being indicated on a scale
device;"a machine or tool used for a specific task; contrivance"
medicine dropper;a tool usually made from a long piece of glass or plastic with a flexible rubber handle that is used to suction liquids in and out of the device
particle accelerator;a machine that uses electromagnetic fields to propel charged particles to nearly light speed and to contain them in well-defined beams
pipe;a hollow cylinder of metal, wood, or other material, used for the conveyance of water, gas, steam, petroleum, etc
capillary tubes;a tube which has an internal diameter of hair-like thinness
pipette;a laboratory tool commonly used in chemistry, biology and medicine to transport a measured volume of liquid, often as a media dispenser
spectrometer;an optical device for measuring wavelengths, deviation of refracted rays, and angles between faces of a prism
test tube;a common piece of laboratory glassware consisting of a finger-like length of glass or clear plastic tubing, open at the top and closed at the bottom
test tube holder;a device used for holding a test tube in place when the tube is hot or should not be touched
test tube rack;a laboratory equipment that is used to hold upright multiple test tubes at the same time
thermonuclear device;a fusion bomb used for peaceful purposes, tests, or experiments
tongs;any of various implements consisting of two arms hinged, pivoted, or otherwise fastened together, for seizing, holding, or lifting something
transfer pipette;a laboratory tool made from a single piece of plastic and their bulb can serve as the liquid-holding chamber
volumetric flask;a type of laboratory flask, calibrated to contain a precise volume at a particular temperature
volumetric pipette;a laboratory tool with a large bulb with a long narrow portion above with a single graduation mark as it is calibrated for a single volume
weighing bottle;a laboratory, glass equipment used for precise weighing of solids
actinium;a chemical element with symbol Ac and atomic number 89
aluminum;a chemical element with symbol Al and atomic number 13
americium;a synthetic chemical element with symbol Am and atomic number 95
cadmium;a chemical element with symbol Cd and atomic number 48
berylium;a chemical element with symbol Be and atomic number 4
calcium;a chemical element with symbol Ca and atomic number 20
boron;a chemical element with symbol B and atomic number 5
argon;a chemical element with symbol Ar and atomic number 18
arsenic;a chemical element with symbol As and atomic number 33
bromine;a chemical element with symbol Br and atomic number 35
yttrium;a chemical element with symbol Y and atomic number 39
antimony;a chemical element with symbol Sb and atomic number 51
barium;a chemical element with symbol Ba and atomic number 56
lutetium;a chemical element with symbol Lu and atomic number 71
bismuth;a chemical element with symbol Bi and atomic number 83
astatine;a radioactive chemical element with symbol At and atomic number 85
berkelium;a transuranic radioactive chemical element with symbol Bk and atomic number 97
californium;a radioactive chemical element with symbol Cf and atomic number 98
rutherfordium;a synthetic chemical element with symbol Rf and atomic number 104
